tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
North Desk,Walk-in,Investment,2020 TY,"$10,160",Standard,"$5,080","$35,550",Single,16-page,0.00%,Audit-ready,On time,No,Yes,2498.25,3 stars,2,10,0 dependents,"$13,850",$0,No
Central Desk,Online,Pension,2021 TY,"$44,650",Standard,$0,"$7,880",Married Joint,8-page,6.20%,Schedule-heavy,On time,No,No,5100.68,4 stars,4,10,0 dependents,"$27,700",$0,Yes
Prairie Desk,Preparer,Wages,2019 TY,"$34,210",Standard,"$1,120","$1,860",Married Joint,8-page,5.50%,Schedule-heavy,2-year amend,Yes,No,931.98,4 stars,4,9,1 dependent,"$27,700",$0,Yes
Harbor Desk,Preparer,Wages,2019 TY,"$50,310",Standard,"$1,640","$2,730",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,2269.81,5 stars,0,11,1 dependent,"$13,850","$1,600",No
Central Desk,Online,Wages,2023 TY,"$41,800",Standard,"$1,360","$2,270",Married Separate,16-page,5.50%,Audit-ready,On time,Yes,Yes,5833.02,4 stars,11,10,1 dependent,"$13,850",$0,Yes
Central Desk,Preparer,Mixed,2021 TY,"$52,830",Standard,"$24,010","$19,210",Head of Household,2-page,5.50%,Simple,3-year amend,No,No,12394.35,3 stars,10,10,1 dependent,"$20,800","$2,400",Yes
Central Desk,Walk-in,Wages,Not Available,"$42,050",Standard,"$1,370","$2,290",Married Joint,8-page,4.75%,Schedule-heavy,On time,No,No,0.0,4 stars,7,10,3 dependents,"$27,700","$4,800",Yes
Prairie Desk,Preparer,Wages,Not Available,"$79,380",Standard,"$2,590","$4,310",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,8297.58,5 stars,3,14,2 dependents,"$27,700",$0,Yes
Capitol Desk,Walk-in,Wages,2020 TY,"$51,610",Itemized,"$1,680","$2,810",Single,8-page,0.00%,Schedule-heavy,2-year amend,No,Yes,945.8,3 stars,0,11,2 dependents,"$17,100","$3,200",No
North Desk,Preparer,Wages,2023 TY,"$42,700",Standard,"$1,390","$2,320",Married Separate,8-page,7.00%,Schedule-heavy,On time,No,Yes,5099.64,4 stars,10,10,1 dependent,"$13,850",$0,Yes
Delta Desk,Online,Wages,2022 TY,"$29,370",Itemized,$960,"$1,600",Single,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,7,3,1 dependent,"$23,560","$1,600",Yes
Prairie Desk,Walk-in,Wages,2023 TY,"$62,630",Standard,"$2,040","$3,400",Head of Household,2-page,6.20%,Simple,On time,Yes,No,6410.51,5 stars,8,7,1 dependent,"$20,800","$1,600",Yes
Harbor Desk,Online,Wages,2020 TY,"$76,810",Itemized,"$2,500","$4,170",Single,2-page,5.50%,Simple,On time,No,No,10144.69,4 stars,6,9,1 dependent,"$23,390","$1,600",Yes
Prairie Desk,Preparer,Self-employed,2020 TY,"$12,130",Standard,"$64,670","$4,040",Married Joint,8-page,6.20%,Schedule-heavy,No filing yet,Yes,No,10795.7,4 stars,7,13,0 dependents,"$27,700",$200,Yes
North Desk,Preparer,Wages,2019 TY,"$106,470",Standard,"$3,470","$5,790",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,14377.12,5 stars,5,17,1 dependent,"$13,850","$1,800",No
Delta Desk,Walk-in,Wages,2022 TY,"$88,610",Standard,"$2,890","$4,820",Single,8-page,4.75%,Schedule-heavy,On time,No,No,16999.38,4 stars,9,15,0 dependents,"$13,850",$0,Yes
River Desk,Walk-in,Mixed,Not Available,"$37,830",Standard,"$17,190","$13,750",Married Separate,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,9343.88,4 stars,4,12,0 dependents,"$13,850",$0,Yes
River Desk,Online,Investment,2023 TY,"$16,290",Standard,"$8,150","$57,020",Married Joint,2-page,0.00%,Simple,3-year amend,No,No,0.0,3 stars,4,9,2 dependents,"$27,700","$3,200",No
North Desk,Preparer,Wages,2023 TY,"$67,410",Standard,"$2,200","$3,660",Married Joint,2-page,0.00%,Simple,On time,Yes,No,4936.13,5 stars,3,8,0 dependents,"$27,700",$0,No
Prairie Desk,Online,Mixed,Not Available,"$29,070",Itemized,"$13,210","$10,570",Qualifying Widow,8-page,5.50%,Schedule-heavy,On time,Yes,No,0.0,5 stars,6,10,1 dependent,"$40,840","$1,600",Yes
North Desk,Preparer,Farm,2023 TY,"$23,330",Standard,"$65,320","$4,670",Qualifying Widow,8-page,6.20%,Schedule-heavy,2-year amend,No,No,11123.92,3 stars,13,15,1 dependent,"$27,700","$1,800",Yes
Harbor Desk,Preparer,Mixed,2019 TY,"$48,870",Standard,"$22,210","$17,770",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,No,12434.17,5 stars,11,14,0 dependents,"$20,800",$400,Yes
North Desk,Online,Contract,2023 TY,"$25,960",Standard,"$44,510","$3,710",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,7647.56,5 stars,6,13,3 dependents,"$13,850",$0,No
Capitol Desk,Preparer,Investment,2021 TY,"$26,740",Itemized,"$13,370","$93,610",Married Joint,16-page,7.00%,Audit-ready,On time,Yes,No,10303.49,4 stars,2,19,0 dependents,"$39,540",$800,Yes
Harbor Desk,Online,Wages,2019 TY,"$95,080",Standard,"$3,100","$5,170",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,Yes,7480.74,4 stars,15,11,3 dependents,"$20,800","$4,800",No
Prairie Desk,Online,Mixed,2022 TY,"$45,720",Standard,"$20,780","$16,630",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,8826.04,5 stars,3,14,2 dependents,"$13,850",$800,Yes
River Desk,Walk-in,Self-employed,Not Available,"$10,040",Itemized,"$53,540","$3,350",Single,2-page,7.00%,Simple,On time,Yes,No,9383.2,5 stars,4,7,0 dependents,"$15,540",$0,Yes
North Desk,Preparer,Royalty,2021 TY,"$14,540",Itemized,"$29,070","$101,760",Head of Household,2-page,6.20%,Simple,No filing yet,No,No,13574.18,3 stars,14,16,0 dependents,"$37,440",$0,Yes
North Desk,Preparer,Mixed,2022 TY,"$58,860",Standard,"$26,760","$21,410",Married Joint,2-page,7.00%,Simple,On time,No,No,15634.14,4 stars,3,11,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,2020 TY,"$49,950",Standard,"$1,630","$2,710",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,4522.41,5 stars,5,6,0 dependents,"$27,700",$0,Yes
River Desk,Online,Mixed,2019 TY,"$42,990",Standard,"$19,540","$15,630",Qualifying Widow,2-page,5.50%,Simple,On time,Yes,No,7344.47,5 stars,11,8,0 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Wages,2020 TY,"$61,350",Itemized,"$2,000","$3,330",Married Joint,8-page,3.00%,Schedule-heavy,2-year amend,Yes,No,0.0,4 stars,3,12,4 dependents,"$61,970","$6,400",Yes
Harbor Desk,Online,Investment,2023 TY,"$23,360",Standard,"$11,680","$81,770",Married Joint,2-page,4.75%,Simple,On time,Yes,No,10953.19,5 stars,7,12,0 dependents,"$27,700",$0,Yes
Prairie Desk,Online,Mixed,2023 TY,"$20,520",Standard,"$9,330","$7,460",Single,2-page,7.00%,Simple,On time,No,Yes,3739.9,4 stars,0,4,2 dependents,"$13,850",$0,Yes
North Desk,Online,Self-employed,2020 TY,"$2,320",Standard,"$12,380",$770,Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,11,1,0 dependents,"$27,700",$0,Yes
Capitol Desk,Preparer,Pension,2021 TY,"$28,730",Standard,$0,"$5,070",Single,2-page,4.75%,Simple,On time,No,No,654.11,4 stars,5,3,4 dependents,"$13,850",$0,Yes
Delta Desk,Online,Self-employed,2020 TY,"$5,440",Standard,"$29,020","$1,810",Married Separate,8-page,4.75%,Schedule-heavy,2-year amend,Yes,No,3423.47,4 stars,11,9,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Self-employed,2019 TY,"$7,170",Itemized,"$38,260","$2,390",Head of Household,2-page,3.00%,Simple,On time,Yes,No,1477.08,5 stars,6,5,1 dependent,"$30,140","$1,600",Yes
River Desk,Walk-in,Investment,2022 TY,"$26,200",Standard,"$13,100","$91,700",Single,2-page,4.75%,Simple,On time,No,Yes,13926.03,4 stars,5,14,1 dependent,"$13,850","$1,600",Yes
Prairie Desk,Online,Pension,2023 TY,"$38,500",Standard,$0,"$6,790",Single,16-page,6.20%,Audit-ready,No filing yet,Yes,No,5466.9,3 stars,8,10,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Pension,2023 TY,"$43,470",Standard,$0,"$7,670",Head of Household,8-page,0.00%,Schedule-heavy,On time,No,Yes,0.0,4 stars,0,10,2 dependents,"$20,800","$3,200",No
Harbor Desk,Online,Wages,2022 TY,"$30,010",Standard,$980,"$1,630",Single,8-page,4.75%,Schedule-heavy,On time,No,No,1563.34,4 stars,3,8,0 dependents,"$13,850",$0,Yes
North Desk,Online,Mixed,2022 TY,"$35,280",Standard,"$16,040","$12,830",Married Joint,8-page,7.00%,Schedule-heavy,No filing yet,Yes,Yes,3995.36,4 stars,6,12,1 dependent,"$27,700","$1,600",Yes
Highland Desk,Preparer,Wages,2020 TY,"$70,010",Standard,"$2,280","$3,800",Married Joint,2-page,5.50%,Simple,On time,Yes,No,6419.86,5 stars,4,8,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Online,Pension,2020 TY,"$48,890",Itemized,$0,"$8,630",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,3,11,1 dependent,"$48,860","$1,600",Yes
River Desk,Online,Self-employed,Not Available,"$6,740",Standard,"$35,930","$2,250",Single,2-page,3.00%,Simple,On time,No,No,3814.2,4 stars,7,4,0 dependents,"$13,850",$0,Yes
Prairie Desk,Walk-in,Mixed,2023 TY,"$45,570",Standard,"$20,710","$16,570",Married Joint,2-page,0.00%,Simple,On time,No,Yes,5234.64,4 stars,9,9,0 dependents,"$27,700",$200,No
North Desk,Online,Wages,Not Available,"$105,590",Standard,"$3,440","$5,740",Single,2-page,3.00%,Simple,On time,Yes,No,19603.67,5 stars,10,12,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Wages,2023 TY,"$56,650",Standard,"$1,850","$3,080",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,3335.56,5 stars,11,11,0 dependents,"$27,700",$0,No
Harbor Desk,Preparer,Self-employed,2023 TY,"$6,910",Standard,"$36,840","$2,300",Single,2-page,0.00%,Simple,No filing yet,Yes,No,3642.11,4 stars,11,5,0 dependents,"$13,850",$0,No
Harbor Desk,Online,Wages,Not Available,"$53,200",Standard,"$1,730","$2,890",Married Joint,2-page,0.00%,Simple,2-year amend,Yes,No,0.0,4 stars,7,6,3 dependents,"$27,700","$4,800",No
Capitol Desk,Preparer,Wages,2022 TY,"$59,080",Standard,"$1,930","$3,210",Married Joint,2-page,3.00%,Simple,No filing yet,No,Yes,5595.4,3 stars,12,7,1 dependent,"$27,700",$0,Yes
Delta Desk,Online,Pension,2019 TY,"$38,740",Itemized,$0,"$6,840",Single,8-page,0.00%,Schedule-heavy,On time,No,Yes,0.0,4 stars,1,10,1 dependent,"$27,010","$1,600",No
River Desk,Online,Investment,2019 TY,"$19,270",Standard,"$9,640","$67,460",Single,2-page,7.00%,Simple,On time,Yes,Yes,10204.94,5 stars,9,10,0 dependents,"$13,850",$0,Yes
North Desk,Walk-in,Wages,2020 TY,"$25,170",Standard,$820,"$1,370",Single,2-page,0.00%,Simple,2-year amend,Yes,No,1935.32,4 stars,11,3,0 dependents,"$13,850",$0,No
River Desk,Online,Wages,2020 TY,"$35,790",Standard,"$1,170","$1,940",Single,2-page,4.75%,Simple,On time,Yes,No,3348.47,5 stars,1,4,1 dependent,"$13,850",$0,Yes
North Desk,Preparer,Farm,2021 TY,"$12,810",Itemized,"$35,850","$2,560",Single,8-page,6.20%,Schedule-heavy,No filing yet,Yes,Yes,3804.14,4 stars,5,10,0 dependents,"$26,440",$0,Yes
Prairie Desk,Online,Self-employed,2023 TY,"$9,760",Standard,"$52,040","$3,250",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,No,4895.3,4 stars,5,7,0 dependents,"$20,800",$0,No
Capitol Desk,Online,Self-employed,2023 TY,"$7,590",Standard,"$40,490","$2,530",Married Joint,16-page,4.75%,Audit-ready,On time,No,No,3116.61,3 stars,4,10,1 dependent,"$27,700",$0,Yes
Harbor Desk,Preparer,Wages,2022 TY,"$53,130",Standard,"$1,730","$2,890",Head of Household,2-page,6.20%,Simple,On time,Yes,No,4312.45,5 stars,0,6,1 dependent,"$20,800","$1,600",Yes
North Desk,Preparer,Wages,2020 TY,"$58,390",Standard,"$1,900","$3,170",Qualifying Widow,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,0,7,4 dependents,"$27,700","$6,400",Yes
Harbor Desk,Online,Wages,2023 TY,"$76,680",Standard,"$2,500","$4,170",Single,2-page,3.00%,Simple,On time,Yes,No,11926.21,5 stars,4,9,0 dependents,"$13,850",$0,Yes
Delta Desk,Preparer,Self-employed,2021 TY,"$10,110",Standard,"$53,940","$3,370",Married Joint,2-page,5.50%,Simple,On time,Yes,No,5983.8,5 stars,3,7,1 dependent,"$27,700",$0,Yes
Central Desk,Online,Wages,2019 TY,"$65,850",Standard,"$2,150","$3,580",Head of Household,2-page,5.50%,Simple,On time,Yes,No,7689.09,5 stars,11,7,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Wages,2021 TY,"$45,080",Standard,"$1,470","$2,450",Married Joint,2-page,4.75%,Simple,No filing yet,No,Yes,3907.06,3 stars,3,5,0 dependents,"$27,700",$0,Yes
River Desk,Preparer,Self-employed,2021 TY,"$13,740",Standard,"$73,280","$4,580",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,No,7984.89,5 stars,3,15,2 dependents,"$27,700",$0,No
Highland Desk,Preparer,Contract,2021 TY,"$27,130",Standard,"$46,510","$3,880",Married Joint,2-page,0.00%,Simple,On time,Yes,No,6287.92,5 stars,10,8,0 dependents,"$27,700",$0,No
North Desk,Online,Investment,2023 TY,"$28,600",Itemized,"$14,300","$100,120",Single,2-page,6.20%,Simple,No filing yet,Yes,No,15922.47,4 stars,11,15,1 dependent,"$27,740",$800,Yes
Delta Desk,Preparer,Mixed,2023 TY,"$54,670",Standard,"$24,850","$19,880",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,Yes,13211.76,4 stars,2,11,0 dependents,"$27,700",$0,Yes
Central Desk,Online,Mixed,2023 TY,"$52,610",Itemized,"$23,920","$19,130",Qualifying Widow,2-page,0.00%,Simple,2-year amend,Yes,No,5249.67,4 stars,4,10,0 dependents,"$45,290",$0,No
Highland Desk,Walk-in,Mixed,2020 TY,"$41,280",Itemized,"$18,760","$15,010",Head of Household,2-page,4.75%,Simple,On time,Yes,Yes,5320.92,5 stars,1,8,3 dependents,"$31,630",$0,Yes
River Desk,Preparer,Wages,2023 TY,"$62,450",Standard,"$2,040","$3,390",Single,2-page,7.00%,Simple,2-year amend,Yes,No,10098.67,4 stars,9,7,0 dependents,"$13,850",$0,Yes
River Desk,Online,Mixed,2023 TY,"$60,450",Standard,"$27,480","$21,980",Married Joint,2-page,0.00%,Simple,No filing yet,No,Yes,6933.78,3 stars,7,12,2 dependents,"$27,700","$3,200",No
Delta Desk,Online,Mixed,2020 TY,"$32,140",Standard,"$14,610","$11,690",Single,2-page,0.00%,Simple,No filing yet,Yes,No,4686.64,4 stars,4,6,0 dependents,"$13,850",$0,No
North Desk,Walk-in,Mixed,2023 TY,"$32,530",Standard,"$14,790","$11,830",Head of Household,16-page,4.75%,Audit-ready,On time,Yes,No,3853.42,4 stars,0,11,3 dependents,"$20,800",$0,Yes
Highland Desk,Walk-in,Contract,2022 TY,"$25,230",Standard,"$43,250","$3,600",Single,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,11377.2,5 stars,2,13,0 dependents,"$13,850",$400,Yes
Central Desk,Online,Royalty,2022 TY,"$9,940",Standard,"$19,890","$69,610",Head of Household,16-page,4.75%,Audit-ready,On time,No,Yes,9189.72,3 stars,7,16,0 dependents,"$20,800",$200,Yes
Central Desk,Online,Wages,2020 TY,"$38,840",Standard,"$1,270","$2,110",Head of Household,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,4,4,2 dependents,"$20,800","$3,200",Yes
North Desk,Online,Wages,2022 TY,"$55,390",Itemized,"$1,810","$3,010",Single,8-page,0.00%,Schedule-heavy,On time,No,No,3631.38,4 stars,1,11,0 dependents,"$23,680",$0,No
North Desk,Walk-in,Wages,2020 TY,"$54,960",Standard,"$1,790","$2,990",Single,2-page,4.75%,Simple,2-year amend,Yes,No,7286.78,4 stars,7,6,0 dependents,"$13,850",$0,Yes
Harbor Desk,Walk-in,Wages,2020 TY,"$11,040",Itemized,$360,$600,Head of Household,2-page,4.75%,Simple,On time,No,No,241.97,4 stars,7,1,4 dependents,"$39,640",$0,Yes
Central Desk,Preparer,Wages,2020 TY,"$52,190",Itemized,"$1,700","$2,840",Single,8-page,4.75%,Schedule-heavy,2-year amend,Yes,No,3250.94,4 stars,7,11,1 dependent,"$26,400","$1,600",Yes
Central Desk,Online,Wages,Not Available,"$53,570",Itemized,"$1,750","$2,910",Married Joint,2-page,4.75%,Simple,On time,Yes,No,295.07,5 stars,11,6,1 dependent,"$58,530",$0,Yes
River Desk,Walk-in,Investment,2021 TY,"$17,930",Standard,"$8,970","$62,770",Head of Household,2-page,6.20%,Simple,No filing yet,Yes,No,6738.73,4 stars,14,9,1 dependent,"$20,800",$0,Yes
River Desk,Online,Mixed,2021 TY,"$66,260",Standard,"$30,120","$24,100",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,10523.3,5 stars,0,18,2 dependents,"$27,700","$3,200",Yes
Central Desk,Online,Contract,2021 TY,"$11,540",Standard,"$19,770","$1,650",Married Joint,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,10,3,2 dependents,"$27,700","$3,200",Yes
Central Desk,Online,Wages,2023 TY,"$38,830",Standard,"$1,270","$2,110",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,218.68,5 stars,0,4,1 dependent,"$27,700","$1,600",No
Harbor Desk,Online,Wages,2022 TY,"$11,040",Standard,$360,$600,Single,2-page,5.50%,Simple,2-year amend,Yes,No,50.64,4 stars,5,1,0 dependents,"$13,850",$0,Yes
River Desk,Preparer,Wages,2023 TY,"$46,420",Itemized,"$1,510","$2,520",Qualifying Widow,2-page,4.75%,Simple,On time,Yes,No,1157.75,5 stars,10,5,0 dependents,"$46,560",$0,Yes
Central Desk,Online,Wages,2021 TY,"$48,300",Standard,"$1,580","$2,630",Single,16-page,4.75%,Audit-ready,On time,Yes,No,4397.81,4 stars,11,10,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Wages,2020 TY,"$45,780",Standard,"$1,490","$2,490",Single,2-page,0.00%,Simple,2-year amend,Yes,No,1015.37,4 stars,4,5,2 dependents,"$13,850","$3,200",No
Central Desk,Preparer,Royalty,2022 TY,"$12,850",Standard,"$25,700","$89,970",Single,2-page,7.00%,Simple,On time,No,Yes,17002.46,4 stars,0,14,1 dependent,"$13,850","$1,600",Yes
Central Desk,Online,Wages,2021 TY,"$76,040",Itemized,"$2,480","$4,130",Qualifying Widow,2-page,7.00%,Simple,On time,Yes,No,6198.7,5 stars,2,9,0 dependents,"$52,130",$0,Yes
Harbor Desk,Online,Wages,2023 TY,"$58,760",Itemized,"$1,920","$3,190",Single,16-page,6.20%,Audit-ready,On time,Yes,Yes,5958.56,4 stars,3,12,0 dependents,"$25,920",$0,Yes
Highland Desk,Online,Mixed,2023 TY,"$36,780",Standard,"$16,720","$13,380",Head of Household,8-page,6.20%,Schedule-heavy,On time,No,No,5201.93,4 stars,3,12,1 dependent,"$20,800","$1,600",Yes
Highland Desk,Online,Mixed,2022 TY,"$59,830",Itemized,"$27,200","$21,760",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,1841.02,5 stars,5,12,2 dependents,"$58,650","$3,200",No
Capitol Desk,Online,Mixed,Not Available,"$42,570",Standard,"$19,350","$15,480",Head of Household,16-page,4.75%,Audit-ready,On time,Yes,No,8802.83,4 stars,3,13,0 dependents,"$20,800",$0,Yes
River Desk,Preparer,Wages,2022 TY,"$38,970",Standard,"$1,270","$2,120",Qualifying Widow,2-page,3.00%,Simple,On time,Yes,No,1871.02,5 stars,6,4,1 dependent,"$27,700",$0,Yes
River Desk,Online,Pension,2021 TY,"$17,460",Itemized,$0,"$3,080",Head of Household,8-page,6.20%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,10,7,2 dependents,"$25,890",$0,Yes
Central Desk,Online,Wages,2022 TY,"$47,300",Itemized,"$1,540","$2,570",Head of Household,2-page,3.00%,Simple,No filing yet,Yes,No,2338.87,4 stars,6,5,3 dependents,"$38,760",$0,Yes
Capitol Desk,Preparer,Mixed,2019 TY,"$55,350",Standard,"$25,160","$20,130",Single,2-page,3.00%,Simple,3-year amend,Yes,Yes,14761.53,4 stars,7,11,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Self-employed,2023 TY,"$22,940",Standard,"$122,360","$7,650",Married Separate,2-page,5.50%,Simple,On time,No,No,30568.32,4 stars,6,16,3 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Pension,2020 TY,"$41,640",Standard,$0,"$7,350",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,No,188.21,4 stars,7,10,1 dependent,"$27,700","$1,600",No
River Desk,Online,Wages,2021 TY,"$40,140",Standard,"$1,310","$2,180",Married Joint,16-page,5.50%,Audit-ready,On time,Yes,Yes,0.0,4 stars,10,9,2 dependents,"$27,700","$3,200",Yes
Central Desk,Walk-in,Mixed,2022 TY,"$23,350",Standard,"$10,610","$8,490",Head of Household,2-page,3.00%,Simple,No filing yet,Yes,No,2163.93,4 stars,14,4,0 dependents,"$20,800",$0,Yes
Highland Desk,Online,Wages,2019 TY,"$69,230",Standard,"$2,260","$3,760",Qualifying Widow,2-page,5.50%,Simple,On time,Yes,No,7511.98,5 stars,3,8,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Preparer,Wages,2019 TY,"$18,080",Standard,$590,$980,Married Joint,2-page,6.20%,Simple,On time,No,No,0.0,4 stars,11,2,1 dependent,"$27,700",$0,Yes
Prairie Desk,Preparer,Wages,2023 TY,"$69,190",Itemized,"$2,260","$3,760",Married Joint,2-page,5.50%,Simple,On time,Yes,No,5517.72,5 stars,9,8,0 dependents,"$34,680",$0,Yes
Delta Desk,Preparer,Self-employed,2019 TY,"$15,070",Standard,"$80,350","$5,020",Married Joint,2-page,3.00%,Simple,On time,Yes,No,12556.83,5 stars,1,11,1 dependent,"$27,700",$0,Yes
Highland Desk,Preparer,Wages,2022 TY,"$66,670",Standard,"$2,170","$3,620",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,No,2630.22,4 stars,6,8,1 dependent,"$27,700","$1,600",No
Highland Desk,Online,Self-employed,2021 TY,"$9,460",Standard,"$50,470","$3,150",Single,8-page,0.00%,Schedule-heavy,On time,No,Yes,5952.73,4 stars,1,12,1 dependent,"$13,850",$0,No
Capitol Desk,Online,Wages,2021 TY,"$69,510",Standard,"$2,270","$3,780",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,4760.02,5 stars,5,8,0 dependents,"$27,700",$0,No
Central Desk,Walk-in,Pension,2020 TY,"$43,120",Standard,$0,"$7,610",Single,16-page,5.50%,Audit-ready,On time,No,No,5012.72,3 stars,0,10,1 dependent,"$13,850",$800,Yes
Prairie Desk,Walk-in,Pension,2023 TY,"$30,220",Itemized,$0,"$5,330",Single,2-page,4.75%,Simple,On time,Yes,No,1570.41,5 stars,3,3,0 dependents,"$17,300",$0,Yes
Highland Desk,Online,Wages,Not Available,"$97,900",Itemized,"$3,190","$5,320",Married Separate,2-page,3.00%,Simple,On time,Yes,Yes,10378.27,5 stars,7,11,3 dependents,"$25,860","$4,800",Yes
North Desk,Preparer,Wages,2020 TY,"$49,270",Standard,"$1,610","$2,680",Married Joint,2-page,3.00%,Simple,No filing yet,Yes,No,0.0,4 stars,5,5,4 dependents,"$27,700","$6,400",Yes
North Desk,Preparer,Wages,Not Available,"$74,170",Standard,"$2,420","$4,030",Head of Household,2-page,7.00%,Simple,On time,Yes,No,11882.0,5 stars,0,8,0 dependents,"$20,800",$0,Yes
Prairie Desk,Preparer,Pension,2022 TY,"$10,200",Standard,$0,"$1,800",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,No,0.0,5 stars,4,6,0 dependents,"$27,700",$0,No
North Desk,Walk-in,Wages,2023 TY,"$85,220",Standard,"$2,780","$4,630",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,13968.42,5 stars,6,15,0 dependents,"$13,850",$0,Yes
Harbor Desk,Preparer,Mixed,2023 TY,"$67,130",Itemized,"$30,520","$24,410",Single,2-page,4.75%,Simple,On time,Yes,No,16554.19,5 stars,9,13,1 dependent,"$30,290",$0,Yes
Central Desk,Online,Mixed,2023 TY,"$43,390",Itemized,"$19,720","$15,780",Single,2-page,0.00%,Simple,2-year amend,Yes,No,1671.66,4 stars,4,8,2 dependents,"$24,680","$3,200",No
Harbor Desk,Preparer,Investment,2023 TY,"$25,410",Itemized,"$12,710","$88,940",Qualifying Widow,8-page,7.00%,Schedule-heavy,On time,Yes,Yes,12233.45,5 stars,5,19,1 dependent,"$30,550","$1,600",Yes
Central Desk,Online,Mixed,2022 TY,"$52,120",Itemized,"$23,690","$18,950",Single,2-page,0.00%,Simple,On time,Yes,Yes,8304.14,5 stars,2,10,0 dependents,"$27,610",$0,No
Capitol Desk,Online,Mixed,2022 TY,"$32,290",Standard,"$14,680","$11,740",Married Joint,2-page,5.50%,Simple,On time,Yes,Yes,2834.99,5 stars,1,6,0 dependents,"$27,700",$0,Yes
North Desk,Preparer,Royalty,2021 TY,"$10,500",Standard,"$21,000","$73,490",Head of Household,8-page,5.50%,Schedule-heavy,3-year amend,Yes,No,9718.0,4 stars,5,16,0 dependents,"$20,800",$0,Yes
Prairie Desk,Preparer,Wages,2020 TY,"$39,190",Standard,"$1,280","$2,130",Qualifying Widow,2-page,6.20%,Simple,No filing yet,Yes,Yes,2199.53,4 stars,13,4,2 dependents,"$27,700",$0,Yes
Prairie Desk,Online,Pension,2023 TY,"$32,520",Standard,$0,"$5,740",Single,2-page,5.50%,Simple,On time,No,No,1407.17,4 stars,11,4,1 dependent,"$13,850","$1,600",Yes
Central Desk,Preparer,Wages,2019 TY,"$81,920",Standard,"$2,670","$4,450",Single,8-page,6.20%,Schedule-heavy,On time,Yes,Yes,14064.81,5 stars,7,14,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Mixed,2021 TY,"$58,980",Itemized,"$26,810","$21,450",Single,16-page,4.75%,Audit-ready,No filing yet,Yes,No,17855.39,3 stars,6,16,0 dependents,"$18,910",$0,Yes
River Desk,Online,Pension,2020 TY,"$31,190",Standard,$0,"$5,500",Single,2-page,4.75%,Simple,No filing yet,Yes,No,0.0,4 stars,16,4,3 dependents,"$13,850","$4,800",Yes
North Desk,Preparer,Self-employed,2020 TY,"$6,690",Standard,"$35,670","$2,230",Single,2-page,5.50%,Simple,On time,No,No,5203.23,4 stars,5,4,0 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Self-employed,2023 TY,"$7,160",Standard,"$38,210","$2,390",Married Joint,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,2409.25,4 stars,10,10,2 dependents,"$27,700",$0,Yes
