aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
787-9,BOEING,2000,"64,508 hrs","31,627 cycles",GEnx-1B,"8,824 hrs","5,022 cycles",C-Check Due,Hourly Inspection,On Lease,Africa,Yes,No,None,Poor,296 seats,0 ADs,30,60.1,"3,101 kg/hr",25456000.0,25572000.0,23299000.0
ATR 72-600,atr,2004,"47,616 hrs","29,006 cycles",PW127M,"5,850 hrs","2,584 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,None,Good,70 seats,0 ADs,33,23.5,"1,621 kg/hr",6157000.0,6523000.0,6400000.0
747-8F,boeing,2011,"46,695 hrs","19,223 cycles",GEnx-2B,234 hrs,133 cycles,Fresh D-Check,MSG-3,Off Lease,Middle East,No,No,Minor,Fair,Freighter (0 seats),2 ADs,39,73.0,"3,035 kg/hr",60395000.0,60820000.0,68009000.0
747-8F,Boeing,2021,"16,521 hrs","12,017 cycles",GEnx-2B,"7,179 hrs","3,206 cycles",D-Check Due,OEM Managed,On Lease,Latin America,No,No,None,Excellent,Freighter (0 seats),2 ADs,31,63.5,"2,557 kg/hr",114284000.0,115448000.0,107028000.0
A330-300,Airbus,2012,"32,346 hrs","14,414 cycles",PW4000,"6,580 hrs","3,358 cycles",Fresh C-Check,MSG-3,Owned,Middle East,Yes,Yes,Minor,Excellent,277 seats,1 ADs,47,72.2,"2,997 kg/hr",48372000.0,50480000.0,45532000.0
737 MAX 8,boeing,2011,"36,119 hrs","14,931 cycles",LEAP-1B,"5,322 hrs","2,633 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,No,None,Good,178 seats,2 ADs,1,50.2,"2,159 kg/hr",24325000.0,22874000.0,24687000.0
ATR 72-600,atr,2018,"13,273 hrs","8,813 cycles",PW127M,"1,787 hrs","1,118 cycles",Fresh D-Check,OEM Managed,Owned,Asia-Pacific,Yes,No,None,Excellent,70 seats,1 ADs,26,65.9,"2,525 kg/hr",20230000.0,20883000.0,20029000.0
A350-900,AIRBUS,2005,"48,656 hrs","20,883 cycles",Trent XWB,"7,365 hrs","3,138 cycles",Fresh C-Check,OEM Managed,On Lease,Asia-Pacific,No,No,None,Good,325 seats,Not Reported,26,49.9,"2,526 kg/hr",47329000.0,43671000.0,41865000.0
ATR 72-600,ATR,2009,"44,122 hrs","35,619 cycles",PW127M,106 hrs,74 cycles,C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,Yes,None,Excellent,70 seats,1 ADs,38,53.3,"2,150 kg/hr",9180000.0,9041000.0,8821000.0
A350-900,airbus,2017,"20,521 hrs","9,397 cycles",Trent XWB,"6,891 hrs","4,266 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,None,Good,325 seats,1 ADs,59,37.1,"4,282 kg/hr",100524000.0,98835000.0,91605000.0
747-8F,Boeing,2008,"50,142 hrs","19,314 cycles",GEnx-2B,"8,059 hrs","5,089 cycles",D-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Good,Freighter (0 seats),0 ADs,59,46.3,"3,737 kg/hr",52009000.0,43361000.0,41032000.0
787-9,Boeing,1998,"77,140 hrs","42,844 cycles",Trent 1000,"6,437 hrs","3,073 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,None,Fair,296 seats,2 ADs,46,47.0,"1,871 kg/hr",23573000.0,22423000.0,22828000.0
A320-200,AIRBUS,2022,"6,283 hrs","7,294 cycles",CFM56-5B,"5,494 hrs","4,180 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,Yes,Minor,Fair,180 seats,3 ADs,32,45.6,"2,011 kg/hr",40490000.0,40307000.0,42208000.0
A350-900,Airbus,2001,"67,119 hrs","28,437 cycles",Trent XWB,"8,799 hrs","5,835 cycles",Fresh C-Check,OEM Managed,Owned,Latin America,No,Yes,None,Poor,325 seats,3 ADs,47,27.5,"1,962 kg/hr",21045000.0,25273000.0,24308000.0
787-9,boeing,2006,"59,350 hrs","36,312 cycles",Trent 1000,"3,845 hrs","1,709 cycles",Fresh D-Check,OEM Managed,Owned,Middle East,Yes,Yes,Minor,Good,296 seats,2 ADs,54,58.5,"3,316 kg/hr",47611000.0,41252000.0,40030000.0
787-9,BOEING,2006,"46,199 hrs","26,800 cycles",GEnx-1B,"2,308 hrs","1,124 cycles",Fresh C-Check,OEM Managed,Off Lease,North America,Yes,Yes,None,Good,296 seats,0 ADs,31,64.9,"3,513 kg/hr",56468000.0,46733000.0,41915000.0
A320-200,AIRBUS,1998,"58,092 hrs","41,810 cycles",CFM56-5B,"6,556 hrs","3,399 cycles",D-Check Due,MSG-3,Owned,North America,Yes,Yes,None,Excellent,180 seats,0 ADs,6,64.6,"2,395 kg/hr",7492000.0,8333000.0,8014000.0
E175,embraer,2000,"63,971 hrs","42,612 cycles",CF34-8E,"1,980 hrs","1,099 cycles",Fresh D-Check,MSG-3,On Lease,North America,No,No,Minor,Fair,76 seats,1 ADs,41,40.7,"3,421 kg/hr",5984000.0,5925000.0,5814000.0
737-800,BOEING,2013,"40,594 hrs","20,611 cycles",CFM56-7B,"6,031 hrs","2,848 cycles",C-Check Due,MSG-3,Owned,Africa,No,No,None,Good,189 seats,3 ADs,30,78.7,"3,318 kg/hr",25827000.0,19032000.0,20551000.0
E175,embraer,2002,"64,216 hrs","32,099 cycles",CF34-8E,457 hrs,285 cycles,Fresh D-Check,MSG-3,Off Lease,Latin America,Yes,No,Minor,Good,76 seats,3 ADs,8,91.5,"2,394 kg/hr",7047000.0,7620000.0,6980000.0
ATR 72-600,ATR,2017,"28,778 hrs","13,284 cycles",PW127M,"8,586 hrs","4,080 cycles",D-Check Due,MSG-3,On Lease,Europe,No,No,None,Poor,70 seats,2 ADs,2,28.3,"1,252 kg/hr",12054000.0,10568000.0,10599000.0
CRJ900,bombardier,2018,"24,872 hrs","16,178 cycles",CF34-8C5,"1,433 hrs",995 cycles,Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Good,76 seats,2 ADs,43,69.3,"2,506 kg/hr",17198000.0,19232000.0,19078000.0
A320neo,airbus,2004,"48,970 hrs","21,417 cycles",LEAP-1A,"3,647 hrs","2,270 cycles",C-Check Due,MSG-3,Off Lease,Africa,No,Yes,None,Excellent,180 seats,1 ADs,52,100.0,"2,691 kg/hr",14395000.0,17026000.0,16832000.0
A320neo,airbus,2010,"35,892 hrs","20,544 cycles",PW1100G,"3,729 hrs","2,271 cycles",Fresh D-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Excellent,180 seats,1 ADs,27,65.3,"3,231 kg/hr",29934000.0,26518000.0,28351000.0
A330-300,Airbus,2009,"42,375 hrs","22,162 cycles",Trent 700,"6,350 hrs","2,908 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,Yes,Yes,None,Good,277 seats,1 ADs,52,72.9,"3,021 kg/hr",49124000.0,42083000.0,42551000.0
CRJ900,Bombardier,2017,"26,801 hrs","10,537 cycles",CF34-8C5,"4,801 hrs","2,486 cycles",D-Check Due,MSG-3,Owned,Middle East,No,No,None,Fair,76 seats,1 ADs,3,49.3,"2,424 kg/hr",10869000.0,12720000.0,13103000.0
ATR 72-600,ATR,2003,"67,244 hrs","41,602 cycles",PW127M,"1,175 hrs",746 cycles,Fresh C-Check,OEM Managed,On Lease,Europe,Yes,No,None,Good,70 seats,3 ADs,7,59.2,"3,309 kg/hr",6231000.0,5440000.0,5900000.0
A330-300,airbus,2013,"36,693 hrs","25,114 cycles",PW4000,624 hrs,417 cycles,D-Check Due,MSG-3,On Lease,North America,No,Yes,None,Good,277 seats,2 ADs,58,68.3,900 kg/hr,42120000.0,44525000.0,47574000.0
777-300ER,boeing,1998,"61,571 hrs","29,655 cycles",GE90-115B,"7,120 hrs","5,250 cycles",Fresh C-Check,MSG-3,Owned,Middle East,Yes,No,None,Good,396 seats,0 ADs,3,54.1,"2,982 kg/hr",27277000.0,22205000.0,22710000.0
737-800,Boeing,2009,"55,075 hrs","26,001 cycles",CFM56-7B,"6,149 hrs","2,576 cycles",C-Check Due,Hourly Inspection,Owned,Africa,Yes,Yes,None,Good,189 seats,2 ADs,21,62.3,"1,297 kg/hr",17963000.0,14067000.0,14436000.0
A320-200,AIRBUS,2011,"42,134 hrs","22,192 cycles",CFM56-5B,"3,089 hrs","1,535 cycles",C-Check Due,MSG-3,On Lease,North America,Yes,Yes,None,Fair,180 seats,1 ADs,12,25.9,"2,831 kg/hr",14943000.0,16503000.0,18197000.0
787-9,BOEING,2012,"29,645 hrs","20,307 cycles",Trent 1000,"3,291 hrs","2,427 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,Yes,None,Good,296 seats,1 ADs,12,43.1,"1,538 kg/hr",58726000.0,66247000.0,64665000.0
737 MAX 8,Boeing,2001,"59,580 hrs","37,333 cycles",LEAP-1B,"7,529 hrs","4,539 cycles",C-Check Due,OEM Managed,On Lease,Middle East,Yes,Yes,Major,Fair,178 seats,1 ADs,49,34.2,"3,296 kg/hr",9493000.0,7146000.0,7804000.0
737-800,boeing,2002,"63,195 hrs","41,401 cycles",CFM56-7B,24 hrs,12 cycles,Fresh C-Check,MSG-3,On Lease,Latin America,No,No,None,Fair,189 seats,0 ADs,34,42.0,"2,614 kg/hr",10702000.0,9623000.0,10275000.0
ATR 72-600,atr,2006,"74,142 hrs","35,423 cycles",PW127M,"6,161 hrs","3,416 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,Yes,None,Good,70 seats,0 ADs,51,64.2,"4,262 kg/hr",8059000.0,6911000.0,6754000.0
A320-200,AIRBUS,2001,"63,366 hrs","29,412 cycles",CFM56-5B,"3,008 hrs","1,728 cycles",C-Check Due,MSG-3,Off Lease,Latin America,No,No,None,Fair,180 seats,2 ADs,45,46.2,"3,395 kg/hr",8470000.0,8529000.0,7376000.0
A330-300,AIRBUS,2014,"37,470 hrs","14,466 cycles",PW4000,"7,338 hrs","3,131 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Asia-Pacific,Yes,No,None,Good,277 seats,3 ADs,56,82.8,"3,495 kg/hr",60556000.0,55090000.0,55230000.0
A330-300,AIRBUS,2015,"32,244 hrs","24,769 cycles",CF6-80E1,"4,611 hrs","2,979 cycles",Fresh C-Check,Hourly Inspection,Owned,Asia-Pacific,Yes,No,None,Good,277 seats,3 ADs,12,23.2,"3,081 kg/hr",45059000.0,50762000.0,53794000.0
737 MAX 8,BOEING,2008,"55,202 hrs","31,694 cycles",LEAP-1B,"1,862 hrs",927 cycles,C-Check Due,MSG-3,Owned,Latin America,No,Yes,None,Good,178 seats,0 ADs,57,55.5,"2,664 kg/hr",15125000.0,15237000.0,16826000.0
ATR 72-600,ATR,2014,"26,635 hrs","14,837 cycles",PW127M,"7,115 hrs","4,199 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,Yes,Yes,Minor,Good,70 seats,2 ADs,53,72.9,"2,458 kg/hr",12861000.0,13714000.0,12241000.0
737 MAX 8,boeing,2016,"25,106 hrs","12,226 cycles",LEAP-1B,"8,249 hrs","5,118 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,Yes,None,Fair,178 seats,1 ADs,26,56.9,"3,148 kg/hr",33026000.0,28307000.0,25901000.0
E175,embraer,1998,"74,700 hrs","48,308 cycles",CF34-8E,"4,099 hrs","2,497 cycles",Fresh C-Check,OEM Managed,Owned,Middle East,Yes,No,None,Fair,76 seats,2 ADs,30,67.3,"1,993 kg/hr",4926000.0,5727000.0,5808000.0
747-8F,boeing,2012,"33,311 hrs","17,071 cycles",GEnx-2B,41 hrs,27 cycles,C-Check Due,MSG-3,On Lease,Europe,No,No,None,Fair,Freighter (0 seats),2 ADs,57,62.3,"2,193 kg/hr",72343000.0,73413000.0,70958000.0
777-300ER,boeing,2016,"28,127 hrs","10,720 cycles",GE90-115B,"1,032 hrs",571 cycles,Fresh D-Check,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Excellent,396 seats,2 ADs,10,78.0,"1,917 kg/hr",104583000.0,93405000.0,89723000.0
A320-200,Airbus,2017,"20,593 hrs","14,524 cycles",V2500,"6,417 hrs","2,820 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Excellent,180 seats,Not Reported,58,32.0,900 kg/hr,25497000.0,25266000.0,26507000.0
747-8F,BOEING,2004,"68,516 hrs","40,809 cycles",GEnx-2B,"2,698 hrs","1,565 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,Minor,Excellent,Freighter (0 seats),1 ADs,19,32.4,"2,861 kg/hr",37675000.0,34991000.0,35688000.0
747-8F,boeing,2012,"30,228 hrs","16,868 cycles",GEnx-2B,"6,887 hrs","3,363 cycles",D-Check Due,MSG-3,Off Lease,Europe,Yes,No,Minor,Excellent,Freighter (0 seats),1 ADs,30,50.2,"2,906 kg/hr",47409000.0,55681000.0,61309000.0
777-300ER,boeing,2001,"56,641 hrs","44,507 cycles",GE90-115B,"7,465 hrs","3,685 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Africa,No,No,None,Excellent,396 seats,1 ADs,48,60.8,"4,239 kg/hr",30385000.0,26625000.0,28795000.0
E175,Embraer,1998,"84,435 hrs","38,712 cycles",CF34-8E,745 hrs,392 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,Yes,None,Good,76 seats,Not Reported,35,53.1,"2,580 kg/hr",6347000.0,5561000.0,5938000.0
A350-900,AIRBUS,2003,"53,639 hrs","34,533 cycles",Trent XWB,"8,614 hrs","4,040 cycles",Fresh D-Check,MSG-3,Owned,Europe,Yes,Yes,Minor,Good,325 seats,0 ADs,14,70.5,"1,360 kg/hr",26040000.0,40682000.0,42280000.0
E175,embraer,2011,"46,375 hrs","20,574 cycles",CF34-8E,"6,361 hrs","4,030 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Poor,76 seats,0 ADs,56,67.7,"1,888 kg/hr",14411000.0,10905000.0,11626000.0
A320neo,Airbus,2021,"11,816 hrs","5,698 cycles",PW1100G,"7,459 hrs","5,227 cycles",Fresh C-Check,MSG-3,Owned,Middle East,Yes,Yes,None,Good,180 seats,0 ADs,56,54.9,"3,821 kg/hr",46686000.0,49857000.0,48769000.0
737-800,Boeing,2012,"40,225 hrs","19,416 cycles",CFM56-7B,"4,245 hrs","2,655 cycles",D-Check Due,MSG-3,Owned,North America,Yes,Yes,None,Excellent,189 seats,1 ADs,11,65.7,"2,527 kg/hr",18616000.0,17737000.0,17283000.0
CRJ900,Bombardier,1998,"55,387 hrs","40,279 cycles",CF34-8C5,"4,018 hrs","3,007 cycles",Fresh D-Check,OEM Managed,Owned,Asia-Pacific,Yes,Yes,Major,Good,76 seats,3 ADs,5,26.3,"1,853 kg/hr",4175000.0,3937000.0,4175000.0
747-8F,Boeing,2013,"38,397 hrs","27,160 cycles",GEnx-2B,"6,546 hrs","2,932 cycles",Fresh C-Check,OEM Managed,Off Lease,Europe,Yes,No,Minor,Good,Freighter (0 seats),1 ADs,18,57.5,"1,609 kg/hr",79391000.0,66894000.0,73176000.0
CRJ900,Bombardier,2022,"10,003 hrs","5,921 cycles",CF34-8C5,"2,045 hrs","1,444 cycles",D-Check Due,Hourly Inspection,Owned,North America,Yes,No,None,Good,76 seats,2 ADs,5,42.1,"1,326 kg/hr",20179000.0,18350000.0,21039000.0
777-300ER,boeing,2013,"28,262 hrs","16,397 cycles",GE90-115B,"4,216 hrs","2,268 cycles",D-Check Due,MSG-3,Owned,Middle East,No,Yes,None,Good,396 seats,0 ADs,15,47.6,"2,799 kg/hr",64550000.0,54457000.0,56250000.0
747-8F,BOEING,2015,"31,037 hrs","19,354 cycles",GEnx-2B,191 hrs,127 cycles,Fresh D-Check,MSG-3,Owned,Europe,No,No,None,Fair,Freighter (0 seats),1 ADs,27,78.5,"2,895 kg/hr",117739000.0,97979000.0,100883000.0
ATR 72-600,atr,1999,"84,855 hrs","36,719 cycles",PW127M,"2,918 hrs","1,561 cycles",Fresh D-Check,Hourly Inspection,Owned,Latin America,No,No,Minor,Excellent,70 seats,Not Reported,23,90.9,"3,061 kg/hr",5413000.0,4829000.0,5232000.0
CRJ900,bombardier,2013,"40,060 hrs","24,024 cycles",CF34-8C5,"8,732 hrs","4,090 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,Yes,None,Good,76 seats,1 ADs,16,47.4,"3,272 kg/hr",12688000.0,10581000.0,11061000.0
A320neo,airbus,2011,"37,475 hrs","25,950 cycles",PW1100G,"8,565 hrs","4,901 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,No,Yes,None,Good,180 seats,0 ADs,32,57.8,"3,330 kg/hr",25932000.0,25507000.0,24494000.0
ATR 72-600,atr,2010,"50,021 hrs","30,537 cycles",PW127M,"3,000 hrs","2,241 cycles",C-Check Due,Hourly Inspection,Owned,Europe,Yes,No,None,Excellent,70 seats,4 ADs,1,48.2,"2,608 kg/hr",7194000.0,7423000.0,8070000.0
A330-300,airbus,2018,"16,603 hrs","10,119 cycles",PW4000,892 hrs,558 cycles,Fresh C-Check,MSG-3,Owned,Latin America,No,No,None,Fair,277 seats,0 ADs,28,30.8,"1,583 kg/hr",74929000.0,63839000.0,66477000.0
CRJ900,bombardier,2014,"41,294 hrs","31,899 cycles",CF34-8C5,"5,330 hrs","3,665 cycles",C-Check Due,MSG-3,Owned,Europe,Yes,No,None,Good,76 seats,1 ADs,10,51.7,"2,907 kg/hr",12976000.0,12423000.0,11549000.0
A330-300,AIRBUS,2007,"39,659 hrs","16,717 cycles",PW4000,"2,538 hrs","1,556 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,No,None,Excellent,277 seats,2 ADs,16,52.1,"2,917 kg/hr",29462000.0,35575000.0,34780000.0
A320-200,AIRBUS,2011,"37,768 hrs","15,639 cycles",V2500,"3,183 hrs","1,484 cycles",C-Check Due,OEM Managed,Owned,Asia-Pacific,No,No,None,Fair,180 seats,0 ADs,27,77.1,"2,815 kg/hr",20182000.0,20723000.0,20081000.0
A330-300,airbus,2019,"15,238 hrs","7,025 cycles",PW4000,"4,661 hrs","2,732 cycles",Fresh D-Check,MSG-3,Off Lease,Latin America,Yes,Yes,None,Fair,277 seats,1 ADs,8,67.7,"5,283 kg/hr",83740000.0,85640000.0,85919000.0
A350-900,airbus,2010,"38,390 hrs","20,546 cycles",Trent XWB,"1,431 hrs",723 cycles,C-Check Due,OEM Managed,Off Lease,Asia-Pacific,No,No,None,Good,325 seats,1 ADs,57,60.7,"2,274 kg/hr",59819000.0,54051000.0,54443000.0
CRJ900,bombardier,2014,"37,895 hrs","17,021 cycles",CF34-8C5,"2,050 hrs","1,123 cycles",Fresh C-Check,OEM Managed,On Lease,Latin America,No,Yes,Minor,Excellent,76 seats,1 ADs,4,54.3,"3,032 kg/hr",11832000.0,13962000.0,13851000.0
777-300ER,BOEING,2001,"77,371 hrs","47,957 cycles",GE90-115B,"1,703 hrs",936 cycles,D-Check Due,Hourly Inspection,Owned,Middle East,Yes,No,None,Good,396 seats,2 ADs,33,50.9,"2,919 kg/hr",25373000.0,21622000.0,22318000.0
ATR 72-600,ATR,2006,"53,946 hrs","22,530 cycles",PW127M,"4,926 hrs","2,897 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,No,None,Excellent,70 seats,2 ADs,10,15.8,"2,903 kg/hr",6944000.0,5677000.0,5979000.0
787-9,boeing,1999,"75,316 hrs","35,313 cycles",Trent 1000,"4,182 hrs","2,106 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Good,296 seats,2 ADs,58,73.2,"2,327 kg/hr",27549000.0,25702000.0,26197000.0
777-300ER,boeing,2021,"9,244 hrs","3,681 cycles",GE90-115B,"5,289 hrs","3,024 cycles",C-Check Due,OEM Managed,Off Lease,Latin America,Yes,No,None,Excellent,396 seats,0 ADs,8,64.6,"2,474 kg/hr",141852000.0,101768000.0,106002000.0
A330-300,airbus,2022,"11,930 hrs","6,836 cycles",PW4000,"8,302 hrs","3,466 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Good,277 seats,Not Reported,57,53.5,"3,185 kg/hr",108385000.0,84783000.0,88060000.0
737-800,Boeing,2014,"33,369 hrs","16,764 cycles",CFM56-7B,"8,454 hrs","3,908 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,Yes,Major,Good,189 seats,1 ADs,5,64.0,"2,257 kg/hr",21169000.0,20563000.0,20192000.0
E175,embraer,2019,"20,072 hrs","15,364 cycles",CF34-8E,"7,595 hrs","4,772 cycles",C-Check Due,OEM Managed,Off Lease,Middle East,Yes,No,None,Good,76 seats,0 ADs,59,62.7,"2,167 kg/hr",23915000.0,20881000.0,21161000.0
A320-200,Airbus,2017,"30,540 hrs","19,725 cycles",CFM56-5B,980 hrs,421 cycles,D-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Poor,180 seats,0 ADs,40,43.1,"1,977 kg/hr",23402000.0,21539000.0,21747000.0
747-8F,BOEING,2022,"7,107 hrs","4,188 cycles",GEnx-2B,"4,875 hrs","3,064 cycles",Fresh D-Check,Hourly Inspection,Owned,Africa,Yes,No,Minor,Good,Freighter (0 seats),2 ADs,22,62.9,"3,021 kg/hr",170909000.0,148676000.0,150862000.0
A320neo,Airbus,1999,"94,073 hrs","45,130 cycles",LEAP-1A,"8,895 hrs","4,192 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,None,Excellent,180 seats,Not Reported,59,70.9,900 kg/hr,9672000.0,11342000.0,9458000.0
E175,Embraer,2020,"12,472 hrs","8,120 cycles",CF34-8E,"4,998 hrs","2,479 cycles",Fresh C-Check,MSG-3,Owned,North America,No,Yes,None,Good,76 seats,1 ADs,10,50.1,"1,911 kg/hr",29176000.0,24952000.0,24925000.0
A320neo,AIRBUS,2000,"56,100 hrs","27,411 cycles",PW1100G,851 hrs,446 cycles,C-Check Due,MSG-3,On Lease,North America,Yes,No,None,Fair,180 seats,2 ADs,41,50.6,900 kg/hr,10371000.0,11384000.0,10664000.0
E175,embraer,2006,"47,731 hrs","32,881 cycles",CF34-8E,"5,188 hrs","3,812 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Fair,76 seats,1 ADs,15,38.0,"1,663 kg/hr",8360000.0,8780000.0,8216000.0
737-800,Boeing,2016,"25,824 hrs","12,585 cycles",CFM56-7B,"2,241 hrs","1,305 cycles",D-Check Due,MSG-3,Off Lease,Middle East,Yes,Yes,None,Good,189 seats,2 ADs,12,47.2,"2,617 kg/hr",20492000.0,24615000.0,21544000.0
E175,Embraer,1999,"73,029 hrs","50,441 cycles",CF34-8E,"6,204 hrs","2,998 cycles",Fresh D-Check,MSG-3,Owned,Latin America,Yes,No,None,Excellent,76 seats,3 ADs,7,51.4,"3,753 kg/hr",5804000.0,6181000.0,6069000.0
737 MAX 8,Boeing,2005,"68,713 hrs","31,607 cycles",LEAP-1B,"3,290 hrs","1,464 cycles",C-Check Due,OEM Managed,Off Lease,Asia-Pacific,No,No,None,Good,178 seats,2 ADs,45,70.1,"1,851 kg/hr",13363000.0,11646000.0,10812000.0
A330-300,airbus,2021,"13,256 hrs","8,338 cycles",CF6-80E1,"5,607 hrs","3,206 cycles",C-Check Due,MSG-3,Owned,Africa,Yes,Yes,None,Good,277 seats,0 ADs,28,60.4,"4,004 kg/hr",104774000.0,79080000.0,85890000.0
777-300ER,BOEING,2006,"62,254 hrs","34,709 cycles",GE90-115B,"7,956 hrs","5,805 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,Yes,None,Fair,396 seats,2 ADs,31,78.8,"2,166 kg/hr",34112000.0,33451000.0,36201000.0
A330-300,Airbus,2015,"31,075 hrs","16,832 cycles",CF6-80E1,"7,345 hrs","3,158 cycles",C-Check Due,Hourly Inspection,Owned,Europe,Yes,No,None,Fair,277 seats,0 ADs,39,64.4,"2,873 kg/hr",59423000.0,52147000.0,52335000.0
CRJ900,Bombardier,2013,"26,888 hrs","13,278 cycles",CF34-8C5,"6,441 hrs","3,175 cycles",C-Check Due,MSG-3,On Lease,North America,No,No,None,Fair,76 seats,1 ADs,31,43.4,"3,826 kg/hr",11762000.0,12719000.0,12113000.0
ATR 72-600,ATR,2022,"7,396 hrs","4,895 cycles",PW127M,"3,497 hrs","1,608 cycles",C-Check Due,Hourly Inspection,On Lease,Asia-Pacific,Yes,Yes,None,Good,70 seats,1 ADs,24,83.4,"4,145 kg/hr",30971000.0,22901000.0,23348000.0
737 MAX 8,Boeing,2017,"19,537 hrs","6,785 cycles",LEAP-1B,"3,437 hrs","1,526 cycles",Fresh C-Check,MSG-3,Owned,Europe,No,No,Major,Good,178 seats,0 ADs,13,59.3,900 kg/hr,33301000.0,26698000.0,30392000.0
A350-900,Airbus,2003,"51,417 hrs","25,108 cycles",Trent XWB,"6,785 hrs","4,621 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,Yes,Minor,Fair,325 seats,1 ADs,22,91.8,"1,519 kg/hr",43720000.0,40085000.0,38976000.0
747-8F,boeing,2004,"44,477 hrs","24,899 cycles",GEnx-2B,"5,291 hrs","2,434 cycles",D-Check Due,MSG-3,On Lease,Middle East,Yes,Yes,None,Fair,Freighter (0 seats),1 ADs,4,84.7,"3,742 kg/hr",51561000.0,40286000.0,45299000.0
E175,Embraer,2011,"39,847 hrs","20,341 cycles",CF34-8E,"6,430 hrs","4,055 cycles",D-Check Due,MSG-3,On Lease,Europe,No,No,None,Good,76 seats,Not Reported,21,35.7,"1,780 kg/hr",10374000.0,10349000.0,10450000.0
737-800,BOEING,2003,"57,427 hrs","24,897 cycles",CFM56-7B,"4,373 hrs","2,814 cycles",C-Check Due,OEM Managed,Owned,North America,Yes,Yes,Minor,Good,189 seats,1 ADs,47,34.6,"3,905 kg/hr",10648000.0,9358000.0,9435000.0
A320neo,AIRBUS,2004,"46,007 hrs","20,391 cycles",LEAP-1A,"2,138 hrs",942 cycles,Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,None,Fair,180 seats,3 ADs,37,66.5,"3,775 kg/hr",18522000.0,15218000.0,16766000.0
A320-200,AIRBUS,2012,"43,658 hrs","25,802 cycles",CFM56-5B,"7,097 hrs","3,608 cycles",D-Check Due,OEM Managed,Owned,Asia-Pacific,No,Yes,None,Excellent,180 seats,4 ADs,7,59.8,"3,689 kg/hr",18066000.0,17205000.0,16886000.0
A320neo,AIRBUS,1998,"72,622 hrs","52,743 cycles",LEAP-1A,"8,467 hrs","4,249 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Asia-Pacific,Yes,No,Minor,Fair,180 seats,1 ADs,22,40.1,"2,468 kg/hr",9914000.0,8498000.0,8484000.0
E175,Embraer,2022,"7,784 hrs","4,762 cycles",CF34-8E,"7,492 hrs","3,841 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,No,Yes,None,Excellent,76 seats,2 ADs,12,36.8,"1,827 kg/hr",30860000.0,26714000.0,28035000.0
ATR 72-600,atr,2008,"60,015 hrs","27,951 cycles",PW127M,646 hrs,418 cycles,Fresh C-Check,Hourly Inspection,On Lease,Africa,No,Yes,Major,Good,70 seats,3 ADs,25,58.0,"3,742 kg/hr",6351000.0,5835000.0,5742000.0
