campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
Harbor Campus,In-person,Algebra,2023 CY,2.2 hours,Required,3.63 GPA,0.5 hours,Sophomore,16-week,100.0%,Lab-heavy,On time,Yes,No,81.53,3 stars,15,7,2 partners,12 cr,7.9 hours,Yes,Large
Grove Campus,Online,Algebra,Not Available,7.2 hours,Required,2.92 GPA,3.0 hours,Senior,16-week,81.4%,Lecture,Late enroll,Yes,No,65.66,2 stars,13,5,2 partners,12 cr,6.9 hours,Yes,Medium
North Campus,In-person,Stats,2022 CY,12.0 hours,Required,3.48 GPA,6.5 hours,Graduate,16-week,100.0%,Studio,On time,Yes,Yes,99.0,5 stars,10,4,2 partners,9 cr,9.7 hours,Yes,Small
Hill Campus,Online,Chemistry,2023 CY,11.6 hours,Required,2.43 GPA,4.4 hours,Junior,10-week,92.2%,Lab-heavy,On time,Yes,No,77.22,3 stars,12,7,1 partner,13 cr,5.8 hours,Yes,Medium
Harbor Campus,Online,Civics,2020 CY,16.4 hours,Required,3.21 GPA,2.9 hours,Junior,16-week,96.8%,Lecture,On time,Yes,No,91.25,4 stars,13,2,2 partners,13 cr,6.1 hours,Yes,Large
Harbor Campus,In-person,Chemistry,2019 CY,14.4 hours,Elective,2.61 GPA,5.2 hours,Sophomore,16-week,82.9%,Lab-heavy,On time,Yes,Yes,73.24,3 stars,11,7,3 partners,13 cr,5.8 hours,Yes,Medium
River Campus,In-person,Stats,2023 CY,9.7 hours,Required,2.96 GPA,4.3 hours,Senior,12-week,86.9%,Lecture,On time,No,No,64.99,2 stars,9,4,0 partners,15 cr,8.5 hours,Yes,Large
River Campus,In-person,Algebra,2023 CY,7.6 hours,Required,4.00 GPA,2.9 hours,Senior,16-week,87.0%,Lab-heavy,On time,Yes,Yes,79.98,3 stars,16,8,0 partners,15 cr,7.7 hours,Yes,Large
Grove Campus,In-person,Algebra,2023 CY,15.7 hours,Required,3.57 GPA,6.7 hours,Sophomore,16-week,94.5%,Lecture,On time,No,Yes,93.28,4 stars,16,8,0 partners,18 cr,6.2 hours,Yes,Medium
Prairie Campus,In-person,Stats,2019 CY,7.9 hours,Required,3.24 GPA,3.4 hours,Graduate,10-week,96.9%,Lab-heavy,On time,Yes,No,78.92,3 stars,14,2,3 partners,12 cr,5.8 hours,Yes,Medium
Harbor Campus,Online,Stats,2023 CY,6.4 hours,Elective,4.00 GPA,2.4 hours,Sophomore,10-week,87.3%,Lecture,On time,Yes,No,91.8,4 stars,8,0,3 partners,12 cr,8.3 hours,Yes,Medium
North Campus,In-person,History,2021 CY,7.2 hours,Elective,2.74 GPA,2.4 hours,Senior,16-week,91.8%,Lecture,3-year retake,Yes,No,71.72,3 stars,9,1,2 partners,15 cr,7.2 hours,Yes,Large
Capitol Campus,In-person,History,2021 CY,5.9 hours,Elective,3.82 GPA,3.0 hours,Graduate,16-week,83.4%,Lab-heavy,On time,Yes,Yes,77.33,3 stars,16,7,0 partners,12 cr,8.4 hours,Yes,Medium
Grove Campus,Online,Chemistry,2020 CY,9.0 hours,Required,2.46 GPA,5.1 hours,Senior,16-week,88.9%,Lecture,2-year retake,Yes,Yes,64.07,2 stars,9,2,3 partners,13 cr,6.7 hours,Yes,Small
Delta Campus,Online,History,Not Available,8.4 hours,Required,2.92 GPA,2.3 hours,Freshman,10-week,96.2%,Lecture,On time,No,No,76.72,3 stars,12,1,0 partners,15 cr,7.4 hours,Yes,Small
Prairie Campus,In-person,Biology,2019 CY,11.4 hours,Required,2.54 GPA,4.8 hours,Junior,10-week,95.8%,Lab-heavy,On time,No,No,70.04,3 stars,14,6,0 partners,16 cr,7.1 hours,No,Medium
Harbor Campus,Hybrid,Civics,2023 CY,9.3 hours,Required,3.15 GPA,3.8 hours,Freshman,16-week,87.3%,Lecture,On time,No,Yes,69.13,2 stars,9,5,1 partner,12 cr,6.1 hours,No,Large
Grove Campus,Hybrid,Biology,2023 CY,5.0 hours,Required,3.18 GPA,1.9 hours,Senior,16-week,93.1%,Studio,On time,Yes,No,68.85,2 stars,13,1,2 partners,15 cr,6.6 hours,No,Medium
North Campus,Online,Physics,2023 CY,4.0 hours,Required,3.01 GPA,1.7 hours,Sophomore,10-week,77.1%,Lab-heavy,On time,Yes,No,51.03,1 star,16,5,2 partners,15 cr,5.5 hours,Yes,Medium
Grove Campus,Online,Algebra,2023 CY,9.8 hours,Required,3.64 GPA,3.1 hours,Junior,16-week,82.0%,Lab-heavy,2-year retake,Yes,No,71.96,3 stars,15,5,0 partners,16 cr,7.3 hours,Yes,Small
River Campus,In-person,Algebra,2023 CY,8.7 hours,Elective,3.04 GPA,2.1 hours,Graduate,12-week,92.0%,Lecture,On time,Yes,No,72.43,3 stars,11,7,0 partners,13 cr,7.6 hours,Yes,Small
Delta Campus,Hybrid,Literature,2020 CY,7.3 hours,Required,3.18 GPA,1.2 hours,Freshman,10-week,66.7%,Lecture,Late enroll,No,No,59.75,2 stars,11,7,1 partner,15 cr,7.9 hours,Yes,Large
Capitol Campus,In-person,History,2019 CY,9.0 hours,Required,3.52 GPA,4.7 hours,Sophomore,16-week,93.7%,Studio,On time,No,Yes,79.43,3 stars,12,8,0 partners,15 cr,7.5 hours,Yes,Medium
River Campus,Hybrid,Literature,2022 CY,9.7 hours,Elective,2.48 GPA,3.3 hours,Junior,12-week,73.5%,Lecture,On time,Yes,No,63.15,2 stars,12,7,2 partners,12 cr,6.7 hours,Yes,Large
Capitol Campus,Online,Algebra,2021 CY,12.9 hours,Elective,2.81 GPA,3.0 hours,Sophomore,16-week,81.7%,Lecture,On time,No,No,68.45,2 stars,13,6,0 partners,15 cr,8.5 hours,No,Small
North Campus,In-person,Stats,2020 CY,8.0 hours,Required,3.05 GPA,4.5 hours,Freshman,12-week,83.4%,Lecture,3-year retake,No,Yes,65.19,2 stars,10,7,0 partners,15 cr,7.8 hours,Yes,Medium
River Campus,In-person,Physics,2020 CY,10.8 hours,Required,3.31 GPA,5.8 hours,Freshman,16-week,81.7%,Lecture,On time,Yes,Yes,75.09,3 stars,9,4,0 partners,12 cr,8.3 hours,Yes,Large
Prairie Campus,Online,Civics,2021 CY,12.2 hours,Required,3.79 GPA,5.1 hours,Sophomore,12-week,86.8%,Lab-heavy,On time,No,No,82.12,4 stars,15,6,1 partner,13 cr,8.4 hours,Yes,Small
Delta Campus,Online,Algebra,2019 CY,6.6 hours,Required,3.05 GPA,2.2 hours,Junior,16-week,86.7%,Lab-heavy,On time,Yes,No,72.12,3 stars,14,7,2 partners,13 cr,6.7 hours,Yes,Small
Hill Campus,In-person,History,2019 CY,9.0 hours,Required,3.01 GPA,4.0 hours,Junior,16-week,80.8%,Lab-heavy,On time,Yes,No,72.17,3 stars,15,0,0 partners,16 cr,7.2 hours,Yes,Medium
Prairie Campus,Online,History,2023 CY,9.0 hours,Required,2.64 GPA,3.7 hours,Freshman,16-week,85.7%,Studio,3-year retake,Yes,No,72.58,3 stars,11,1,0 partners,9 cr,7.7 hours,Yes,Medium
Prairie Campus,Hybrid,Chemistry,2021 CY,4.9 hours,Required,3.30 GPA,0.9 hours,Sophomore,16-week,72.4%,Lecture,2-year retake,Yes,No,72.22,3 stars,11,3,3 partners,15 cr,5.5 hours,Yes,Large
Harbor Campus,In-person,Biology,Not Available,11.0 hours,Required,3.02 GPA,6.1 hours,Sophomore,16-week,100.0%,Lecture,On time,Yes,Yes,84.31,4 stars,10,4,1 partner,12 cr,5.6 hours,Yes,Large
Grove Campus,In-person,Algebra,Not Available,9.2 hours,Required,3.03 GPA,2.9 hours,Sophomore,10-week,81.9%,Lecture,3-year retake,No,No,67.67,2 stars,12,4,0 partners,15 cr,5.4 hours,Yes,Medium
Delta Campus,In-person,History,2020 CY,10.3 hours,Elective,3.11 GPA,4.4 hours,Senior,16-week,71.3%,Lab-heavy,Late enroll,Yes,No,75.62,3 stars,13,2,0 partners,15 cr,6.7 hours,Yes,Small
River Campus,Online,Biology,2023 CY,5.3 hours,Required,3.40 GPA,2.0 hours,Sophomore,16-week,76.2%,Lecture,On time,Yes,No,69.7,2 stars,13,6,3 partners,15 cr,6.4 hours,Yes,Medium
Grove Campus,In-person,History,2022 CY,10.5 hours,Required,2.90 GPA,4.8 hours,Junior,16-week,100.0%,Lecture,On time,Yes,Yes,80.13,3 stars,14,8,1 partner,15 cr,5.2 hours,Yes,Large
Delta Campus,Hybrid,Biology,2023 CY,14.9 hours,Required,2.95 GPA,4.9 hours,Graduate,12-week,81.9%,Lecture,On time,Yes,Yes,80.03,3 stars,13,4,0 partners,13 cr,7.0 hours,No,Medium
Hill Campus,In-person,Biology,2020 CY,15.1 hours,Elective,3.34 GPA,2.4 hours,Junior,12-week,75.4%,Lab-heavy,On time,No,No,70.51,3 stars,13,6,0 partners,13 cr,6.7 hours,Yes,Large
Delta Campus,Online,Literature,2020 CY,14.6 hours,Required,1.79 GPA,4.6 hours,Junior,12-week,94.5%,Lab-heavy,On time,Yes,Yes,77.37,3 stars,13,0,0 partners,15 cr,8.1 hours,Yes,Medium
River Campus,In-person,History,2019 CY,6.1 hours,Elective,2.76 GPA,3.4 hours,Freshman,10-week,84.8%,Studio,On time,No,Yes,70.63,3 stars,10,7,0 partners,12 cr,9.0 hours,No,Small
Grove Campus,In-person,History,2022 CY,10.5 hours,Required,2.51 GPA,4.3 hours,Freshman,10-week,89.5%,Lecture,3-year retake,No,No,76.06,3 stars,10,5,0 partners,16 cr,7.3 hours,Yes,Medium
Capitol Campus,Online,Chemistry,Not Available,7.6 hours,Required,3.57 GPA,1.1 hours,Freshman,16-week,89.4%,Studio,3-year retake,Yes,No,70.93,3 stars,13,5,0 partners,15 cr,6.0 hours,No,Medium
Capitol Campus,In-person,Physics,2023 CY,11.4 hours,Required,2.95 GPA,3.6 hours,Senior,12-week,91.7%,Lecture,On time,Yes,Yes,72.1,3 stars,12,3,0 partners,16 cr,7.5 hours,Yes,Small
River Campus,In-person,History,2023 CY,8.0 hours,Required,2.90 GPA,4.0 hours,Senior,10-week,100.0%,Lecture,On time,Yes,Yes,82.85,4 stars,8,0,0 partners,12 cr,6.8 hours,Yes,Medium
Grove Campus,Hybrid,Literature,Not Available,4.4 hours,Elective,3.01 GPA,2.2 hours,Freshman,12-week,68.8%,Lecture,On time,No,Yes,49.48,1 star,12,8,1 partner,15 cr,6.5 hours,Yes,Medium
River Campus,Hybrid,Stats,2023 CY,8.0 hours,Required,2.76 GPA,1.5 hours,Freshman,16-week,77.8%,Lecture,On time,No,No,73.84,3 stars,10,0,1 partner,9 cr,5.9 hours,Yes,Small
Hill Campus,Hybrid,Chemistry,2019 CY,11.4 hours,Required,2.97 GPA,2.0 hours,Sophomore,16-week,83.4%,Lecture,On time,Yes,No,63.72,2 stars,11,3,2 partners,16 cr,6.3 hours,Yes,Medium
River Campus,In-person,Stats,2023 CY,11.4 hours,Required,3.19 GPA,5.1 hours,Junior,10-week,100.0%,Lecture,On time,Yes,Yes,84.71,4 stars,11,1,0 partners,15 cr,6.6 hours,Yes,Medium
North Campus,Online,Civics,2021 CY,10.4 hours,Required,2.96 GPA,3.4 hours,Junior,16-week,100.0%,Lecture,On time,No,No,80.23,3 stars,14,6,2 partners,15 cr,7.7 hours,Yes,Large
Hill Campus,Hybrid,Algebra,2019 CY,11.2 hours,Required,2.96 GPA,5.8 hours,Junior,16-week,98.9%,Lab-heavy,On time,Yes,Yes,90.56,4 stars,16,5,2 partners,15 cr,7.4 hours,Yes,Medium
Grove Campus,In-person,History,2022 CY,11.8 hours,Required,2.85 GPA,4.1 hours,Graduate,12-week,81.1%,Lab-heavy,On time,No,Yes,80.65,3 stars,15,6,3 partners,12 cr,8.8 hours,Yes,Large
Capitol Campus,In-person,Physics,Not Available,11.6 hours,Elective,2.63 GPA,3.4 hours,Sophomore,16-week,82.2%,Lab-heavy,On time,No,Yes,56.8,1 star,14,4,0 partners,15 cr,7.5 hours,Yes,Large
River Campus,Online,Stats,2021 CY,7.6 hours,Elective,3.18 GPA,3.0 hours,Junior,12-week,71.7%,Lab-heavy,2-year retake,Yes,No,61.04,2 stars,15,6,0 partners,16 cr,7.3 hours,Yes,Medium
River Campus,In-person,Chemistry,2022 CY,10.2 hours,Elective,3.29 GPA,5.8 hours,Junior,16-week,81.2%,Lecture,On time,Yes,Yes,77.18,3 stars,10,2,1 partner,12 cr,6.5 hours,No,Small
River Campus,Online,Algebra,2020 CY,14.7 hours,Required,2.51 GPA,3.8 hours,Sophomore,16-week,100.0%,Lab-heavy,On time,Yes,No,61.08,2 stars,16,5,0 partners,18 cr,5.7 hours,Yes,Large
Capitol Campus,Hybrid,Literature,2019 CY,9.6 hours,Required,3.64 GPA,3.9 hours,Graduate,16-week,83.6%,Lecture,On time,Yes,No,78.18,3 stars,10,7,0 partners,16 cr,6.2 hours,No,Small
Delta Campus,Online,Algebra,2020 CY,9.2 hours,Required,3.37 GPA,3.5 hours,Freshman,12-week,84.9%,Lecture,On time,No,No,62.93,2 stars,11,2,0 partners,18 cr,6.0 hours,Yes,Large
Hill Campus,In-person,Physics,2023 CY,10.8 hours,Required,3.59 GPA,5.8 hours,Senior,16-week,96.7%,Lecture,On time,No,Yes,82.66,4 stars,14,5,1 partner,16 cr,4.0 hours,Yes,Medium
Delta Campus,In-person,Chemistry,2023 CY,9.8 hours,Required,3.28 GPA,3.9 hours,Senior,12-week,72.4%,Lab-heavy,On time,No,Yes,71.39,3 stars,14,2,2 partners,12 cr,5.7 hours,Yes,Medium
River Campus,In-person,Physics,2020 CY,9.1 hours,Required,3.59 GPA,2.8 hours,Graduate,16-week,89.5%,Lecture,On time,Yes,Yes,88.48,4 stars,12,8,0 partners,15 cr,8.6 hours,No,Medium
Delta Campus,In-person,Civics,2021 CY,9.8 hours,Required,4.00 GPA,1.8 hours,Junior,16-week,78.0%,Lab-heavy,On time,Yes,No,83.4,4 stars,14,7,3 partners,12 cr,7.2 hours,Yes,Medium
Grove Campus,Online,Literature,2020 CY,7.5 hours,Required,3.01 GPA,2.8 hours,Sophomore,10-week,83.1%,Lecture,On time,No,No,70.17,3 stars,11,2,2 partners,15 cr,6.4 hours,No,Large
North Campus,Hybrid,Literature,2019 CY,9.4 hours,Elective,2.68 GPA,5.0 hours,Senior,16-week,80.1%,Lecture,On time,Yes,Yes,72.22,3 stars,13,3,0 partners,12 cr,7.2 hours,No,Small
North Campus,In-person,Physics,2022 CY,6.6 hours,Required,2.46 GPA,1.9 hours,Senior,16-week,82.6%,Lecture,On time,Yes,No,44.56,1 star,12,0,0 partners,16 cr,4.7 hours,Yes,Large
Delta Campus,In-person,Civics,2023 CY,9.4 hours,Required,3.94 GPA,1.6 hours,Junior,10-week,91.3%,Lecture,On time,Yes,No,81.62,3 stars,11,5,0 partners,12 cr,7.1 hours,Yes,Small
River Campus,Hybrid,Civics,2023 CY,12.4 hours,Required,3.95 GPA,3.3 hours,Senior,16-week,88.2%,Lecture,On time,Yes,Yes,98.13,5 stars,11,7,2 partners,12 cr,8.2 hours,Yes,Large
Hill Campus,In-person,Algebra,2022 CY,9.8 hours,Required,2.73 GPA,4.4 hours,Sophomore,16-week,86.8%,Lab-heavy,On time,No,Yes,77.98,3 stars,9,3,2 partners,9 cr,6.7 hours,Yes,Large
River Campus,In-person,Literature,2022 CY,3.5 hours,Elective,2.82 GPA,2.7 hours,Junior,12-week,92.7%,Lecture,On time,Yes,Yes,63.84,2 stars,10,6,1 partner,15 cr,4.9 hours,Yes,Medium
Prairie Campus,In-person,Biology,2020 CY,12.4 hours,Required,3.00 GPA,4.5 hours,Senior,16-week,80.3%,Lecture,On time,No,Yes,69.63,2 stars,9,7,1 partner,12 cr,6.3 hours,No,Small
North Campus,Online,Civics,2020 CY,8.9 hours,Elective,3.70 GPA,3.1 hours,Sophomore,16-week,92.8%,Lab-heavy,On time,Yes,No,83.09,4 stars,12,3,0 partners,12 cr,8.2 hours,Yes,Large
Capitol Campus,In-person,Literature,Not Available,6.7 hours,Elective,2.57 GPA,3.3 hours,Junior,16-week,86.9%,Lecture,On time,Yes,Yes,74.58,3 stars,8,3,3 partners,12 cr,7.1 hours,Yes,Large
Delta Campus,Online,History,2023 CY,11.6 hours,Required,2.42 GPA,4.8 hours,Graduate,12-week,81.2%,Lecture,On time,Yes,No,75.5,3 stars,9,5,3 partners,13 cr,5.2 hours,Yes,Medium
River Campus,In-person,Biology,Not Available,4.6 hours,Required,4.00 GPA,1.8 hours,Senior,16-week,81.1%,Lecture,On time,No,No,71.02,3 stars,16,4,1 partner,18 cr,9.4 hours,Yes,Medium
North Campus,Online,History,2023 CY,12.4 hours,Required,3.29 GPA,2.6 hours,Senior,16-week,83.6%,Lecture,On time,Yes,No,66.71,2 stars,11,6,1 partner,15 cr,5.4 hours,No,Large
Hill Campus,In-person,Physics,2023 CY,8.9 hours,Required,3.35 GPA,3.1 hours,Sophomore,16-week,100.0%,Lecture,Late enroll,Yes,No,74.99,3 stars,12,4,0 partners,12 cr,6.5 hours,Yes,Small
Hill Campus,In-person,Biology,Not Available,1.8 hours,Required,3.21 GPA,0.7 hours,Graduate,10-week,82.4%,Lab-heavy,2-year retake,Yes,No,55.63,1 star,13,0,0 partners,12 cr,5.7 hours,No,Medium
North Campus,In-person,Algebra,2022 CY,9.1 hours,Elective,3.24 GPA,3.9 hours,Freshman,16-week,71.6%,Lecture,3-year retake,No,No,73.56,3 stars,10,1,0 partners,9 cr,5.7 hours,Yes,Medium
Grove Campus,In-person,Civics,2019 CY,7.8 hours,Required,2.47 GPA,2.6 hours,Junior,16-week,98.2%,Lab-heavy,On time,No,No,68.72,2 stars,15,3,1 partner,13 cr,6.3 hours,Yes,Small
Capitol Campus,In-person,Physics,2019 CY,6.7 hours,Elective,2.77 GPA,1.4 hours,Sophomore,10-week,84.3%,Lecture,On time,Yes,No,62.97,2 stars,13,3,2 partners,12 cr,7.5 hours,Yes,Large
River Campus,In-person,Biology,2020 CY,8.1 hours,Required,3.20 GPA,3.8 hours,Senior,16-week,91.8%,Lab-heavy,On time,No,Yes,82.07,4 stars,10,3,3 partners,9 cr,8.2 hours,Yes,Medium
Capitol Campus,In-person,Biology,2020 CY,8.1 hours,Elective,2.28 GPA,2.8 hours,Graduate,16-week,82.9%,Lab-heavy,On time,Yes,No,56.06,1 star,11,7,0 partners,12 cr,6.4 hours,Yes,Large
River Campus,In-person,Stats,2021 CY,8.9 hours,Required,3.01 GPA,3.3 hours,Senior,16-week,100.0%,Lecture,On time,Yes,Yes,70.91,3 stars,9,4,0 partners,13 cr,5.7 hours,No,Medium
Delta Campus,Hybrid,Physics,2023 CY,3.2 hours,Required,2.99 GPA,1.4 hours,Junior,16-week,80.1%,Lecture,On time,Yes,No,55.74,1 star,13,5,0 partners,15 cr,7.3 hours,No,Medium
North Campus,In-person,Literature,2023 CY,13.2 hours,Required,3.01 GPA,2.9 hours,Sophomore,10-week,100.0%,Lecture,On time,No,No,78.72,3 stars,9,2,3 partners,9 cr,7.4 hours,Yes,Medium
Hill Campus,Online,History,2022 CY,8.3 hours,Required,2.90 GPA,3.5 hours,Junior,16-week,75.5%,Studio,On time,Yes,No,67.83,2 stars,13,7,2 partners,15 cr,7.1 hours,Yes,Medium
River Campus,Hybrid,Biology,2020 CY,6.2 hours,Elective,2.70 GPA,1.7 hours,Junior,12-week,83.1%,Studio,On time,Yes,No,72.99,3 stars,14,7,1 partner,15 cr,7.1 hours,No,Large
Hill Campus,In-person,Algebra,2023 CY,6.9 hours,Required,2.21 GPA,2.2 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,Yes,71.85,3 stars,11,6,1 partner,16 cr,6.7 hours,No,Medium
Grove Campus,Online,Physics,2021 CY,11.6 hours,Required,3.22 GPA,3.6 hours,Junior,16-week,81.7%,Lab-heavy,2-year retake,Yes,No,71.54,3 stars,13,6,1 partner,12 cr,6.9 hours,Yes,Large
Prairie Campus,Hybrid,Algebra,2019 CY,6.3 hours,Required,3.01 GPA,3.3 hours,Senior,10-week,100.0%,Lecture,On time,Yes,Yes,80.63,3 stars,12,6,0 partners,16 cr,6.6 hours,Yes,Medium
Delta Campus,Online,Algebra,2021 CY,9.5 hours,Required,2.53 GPA,3.9 hours,Senior,16-week,83.3%,Lecture,On time,No,No,60.75,2 stars,10,4,0 partners,16 cr,8.0 hours,No,Small
Capitol Campus,In-person,Physics,2021 CY,7.2 hours,Required,3.18 GPA,2.2 hours,Senior,16-week,85.6%,Lab-heavy,2-year retake,Yes,No,79.89,3 stars,17,4,0 partners,18 cr,9.3 hours,Yes,Small
Capitol Campus,In-person,Stats,2021 CY,8.8 hours,Required,3.02 GPA,2.8 hours,Sophomore,12-week,100.0%,Lecture,On time,Yes,Yes,72.57,3 stars,10,0,0 partners,16 cr,7.0 hours,Yes,Large
River Campus,In-person,Physics,2023 CY,5.6 hours,Required,2.94 GPA,2.4 hours,Junior,12-week,73.9%,Lecture,On time,Yes,No,70.5,3 stars,13,7,1 partner,12 cr,6.8 hours,Yes,Medium
Grove Campus,In-person,Chemistry,2023 CY,8.5 hours,Required,2.06 GPA,3.9 hours,Freshman,16-week,72.6%,Lab-heavy,On time,Yes,Yes,68.83,2 stars,14,9,0 partners,18 cr,7.1 hours,Yes,Medium
Harbor Campus,Hybrid,Chemistry,2023 CY,9.1 hours,Required,3.46 GPA,2.1 hours,Sophomore,16-week,78.0%,Lecture,On time,Yes,No,60.05,2 stars,10,4,1 partner,16 cr,6.1 hours,No,Medium
Capitol Campus,Hybrid,Chemistry,2020 CY,9.3 hours,Elective,2.60 GPA,3.9 hours,Sophomore,12-week,94.1%,Lab-heavy,On time,No,No,75.81,3 stars,12,6,1 partner,12 cr,7.6 hours,Yes,Medium
North Campus,In-person,History,2023 CY,6.6 hours,Required,3.18 GPA,1.2 hours,Sophomore,16-week,66.9%,Lecture,Late enroll,Yes,No,63.2,2 stars,13,3,1 partner,12 cr,7.3 hours,Yes,Medium
Capitol Campus,Online,Chemistry,2023 CY,8.8 hours,Required,2.67 GPA,1.6 hours,Freshman,12-week,86.0%,Lecture,Late enroll,No,No,58.49,2 stars,16,0,3 partners,18 cr,6.3 hours,No,Medium
Grove Campus,In-person,Chemistry,2020 CY,11.9 hours,Required,2.98 GPA,3.7 hours,Junior,16-week,88.3%,Lecture,Late enroll,Yes,No,74.56,3 stars,13,6,0 partners,12 cr,7.8 hours,No,Large
River Campus,Hybrid,Literature,2023 CY,3.8 hours,Required,3.67 GPA,1.3 hours,Sophomore,12-week,100.0%,Studio,3-year retake,No,No,66.19,2 stars,14,4,1 partner,16 cr,6.8 hours,No,Small
Prairie Campus,In-person,Civics,2022 CY,9.1 hours,Required,3.39 GPA,2.8 hours,Sophomore,10-week,99.5%,Lecture,On time,Yes,No,79.93,3 stars,13,7,0 partners,13 cr,5.7 hours,No,Medium
Harbor Campus,Hybrid,Stats,2022 CY,6.1 hours,Required,3.66 GPA,2.6 hours,Sophomore,16-week,83.6%,Lecture,Late enroll,No,No,66.27,2 stars,11,1,1 partner,15 cr,7.2 hours,Yes,Small
Prairie Campus,Hybrid,Algebra,2020 CY,5.7 hours,Required,3.30 GPA,1.3 hours,Junior,10-week,99.6%,Lab-heavy,On time,No,No,71.49,3 stars,11,3,1 partner,12 cr,7.1 hours,No,Large
River Campus,In-person,History,2022 CY,9.9 hours,Required,3.33 GPA,4.4 hours,Sophomore,16-week,94.4%,Studio,On time,Yes,No,87.02,4 stars,11,5,0 partners,15 cr,7.9 hours,No,Medium
River Campus,In-person,Biology,2020 CY,7.4 hours,Required,2.35 GPA,1.2 hours,Sophomore,10-week,78.4%,Studio,Late enroll,No,No,57.88,1 star,10,1,0 partners,15 cr,7.7 hours,Yes,Medium
Hill Campus,Hybrid,History,2020 CY,6.0 hours,Elective,3.01 GPA,2.3 hours,Junior,12-week,68.6%,Lecture,Late enroll,Yes,Yes,63.79,2 stars,11,8,1 partner,16 cr,6.7 hours,Yes,Large
Harbor Campus,In-person,Biology,2020 CY,14.7 hours,Required,2.93 GPA,4.2 hours,Freshman,16-week,77.3%,Lecture,2-year retake,Yes,Yes,80.58,3 stars,12,4,1 partner,12 cr,6.3 hours,Yes,Medium
Harbor Campus,In-person,Biology,Not Available,13.4 hours,Required,3.85 GPA,3.5 hours,Graduate,16-week,88.6%,Lab-heavy,On time,Yes,Yes,81.95,3 stars,12,1,1 partner,12 cr,6.8 hours,Yes,Small
Capitol Campus,Hybrid,Physics,2021 CY,4.3 hours,Required,2.80 GPA,2.4 hours,Freshman,12-week,87.8%,Lab-heavy,On time,No,Yes,57.39,1 star,12,6,1 partner,12 cr,7.2 hours,Yes,Medium
Capitol Campus,Online,Chemistry,2021 CY,4.4 hours,Required,3.27 GPA,1.8 hours,Sophomore,16-week,64.6%,Studio,On time,No,No,56.02,1 star,8,7,1 partner,9 cr,7.3 hours,Yes,Small
Harbor Campus,In-person,Stats,2021 CY,11.8 hours,Elective,3.13 GPA,5.9 hours,Freshman,12-week,86.8%,Lab-heavy,On time,Yes,Yes,85.15,4 stars,14,2,1 partner,18 cr,7.1 hours,Yes,Large
Harbor Campus,In-person,Algebra,2023 CY,8.2 hours,Required,3.67 GPA,3.1 hours,Junior,16-week,83.3%,Lecture,Late enroll,No,No,74.09,3 stars,12,4,0 partners,12 cr,6.7 hours,Yes,Medium
Hill Campus,In-person,Algebra,2022 CY,15.3 hours,Required,3.09 GPA,3.5 hours,Sophomore,10-week,88.5%,Lecture,Late enroll,Yes,Yes,87.55,4 stars,12,6,1 partner,12 cr,7.9 hours,Yes,Large
Capitol Campus,Hybrid,History,2023 CY,12.5 hours,Required,3.52 GPA,6.3 hours,Senior,16-week,100.0%,Lecture,On time,Yes,Yes,90.07,4 stars,13,3,1 partner,16 cr,6.1 hours,No,Large
Harbor Campus,In-person,Algebra,2021 CY,10.1 hours,Required,2.38 GPA,2.7 hours,Sophomore,10-week,90.9%,Lecture,On time,Yes,No,67.99,2 stars,8,4,2 partners,12 cr,9.5 hours,Yes,Large
River Campus,In-person,Biology,2020 CY,5.2 hours,Elective,2.42 GPA,1.9 hours,Junior,16-week,79.9%,Lecture,On time,Yes,No,66.55,2 stars,12,4,1 partner,12 cr,7.6 hours,Yes,Medium
Harbor Campus,In-person,Stats,2022 CY,10.7 hours,Required,2.12 GPA,3.9 hours,Sophomore,16-week,70.8%,Lecture,On time,Yes,No,58.11,2 stars,11,2,1 partner,15 cr,5.6 hours,Yes,Small
Prairie Campus,Hybrid,Biology,2021 CY,4.4 hours,Elective,3.38 GPA,0.9 hours,Freshman,16-week,92.9%,Lab-heavy,On time,Yes,No,73.26,3 stars,12,2,3 partners,13 cr,7.0 hours,No,Medium
Hill Campus,In-person,Biology,2023 CY,13.3 hours,Required,3.45 GPA,4.1 hours,Sophomore,12-week,74.3%,Lab-heavy,2-year retake,Yes,No,78.86,3 stars,18,5,2 partners,16 cr,7.6 hours,No,Large
Capitol Campus,Hybrid,Literature,2023 CY,9.9 hours,Elective,3.55 GPA,4.2 hours,Junior,12-week,94.7%,Lab-heavy,On time,Yes,No,82.68,4 stars,17,6,0 partners,15 cr,6.4 hours,Yes,Large
Capitol Campus,Online,Chemistry,2022 CY,7.9 hours,Required,2.85 GPA,3.0 hours,Sophomore,10-week,94.0%,Lab-heavy,3-year retake,No,Yes,63.01,2 stars,13,3,2 partners,12 cr,5.2 hours,Yes,Large
North Campus,Hybrid,Literature,Not Available,13.1 hours,Required,3.05 GPA,6.0 hours,Graduate,16-week,70.6%,Lab-heavy,On time,Yes,Yes,84.65,4 stars,14,2,0 partners,15 cr,5.7 hours,Yes,Small
