branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
Harbor Branch,Branch,Card,2023 VY,"$64,800",Purchase,"$21,410","$9,800",Public,24-month,20.00%,Simple,On time,No,Yes,3389.97,1 star,7,14,2 borrowers,$0,"$5,610",Yes,Unsecured
Harbor Branch,Branch,Personal,2023 VY,"$51,000",Purchase,"$17,430","$10,600",Public,36-month,7.09%,Simple,On time,Yes,Yes,10556.03,3 stars,0,12,2 borrowers,$0,"$3,950",Yes,Real-estate
Central Branch,Branch,Personal,2023 VY,"$26,300",Purchase,"$6,210","$20,200",Employed,54-month,15.15%,Simple,On time,No,Yes,11111.79,1 star,4,9,2 borrowers,$0,"$6,420",Yes,Unsecured
Prairie Branch,Branch,Card,2019 VY,"$62,100",Purchase,"$8,500","$4,500",Retired,24-month,16.93%,Simple,On time,Yes,No,4437.42,1 star,2,10,3 borrowers,$0,"$3,730",Yes,Real-estate
River Branch,Online,Card,2023 VY,"$48,900",Refinance,"$6,140","$7,800",Employed,24-month,14.61%,Simple,On time,Yes,No,5539.63,3 stars,4,10,4 borrowers,$0,"$1,340",Yes,Auto
Delta Branch,Branch,Auto,2021 VY,"$68,600",Refinance,"$3,560","$20,800",Public,30-month,8.56%,Simple,3-year prior,Yes,Yes,16413.67,3 stars,9,15,3 borrowers,"$1,310","$16,350",Yes,Unsecured
Highland Branch,Branch,Auto,2021 VY,"$66,800",Refinance,"$8,300","$15,600",Retired,60-month,5.86%,Simple,On time,Yes,Yes,13727.01,2 stars,6,14,2 borrowers,"$3,990","$6,040",Yes,Real-estate
Central Branch,Online,Mortgage,2020 VY,"$72,500",Purchase,"$3,050","$265,500",Contract,360-month,7.67%,Full-doc,2-year prior,Yes,Yes,222330.17,4 stars,5,14,1 borrower,"$29,680","$8,010",Yes,Unsecured
North Branch,Online,Auto,Not Available,"$70,700",Purchase,"$23,730","$32,100",Employed,60-month,8.58%,Simple,On time,No,No,23588.2,3 stars,0,11,3 borrowers,"$1,920","$2,730",Yes,Unsecured
Prairie Branch,Branch,Personal,2019 VY,"$43,000",Purchase,"$6,780","$20,100",Self-employed,18-month,9.57%,Simple,On time,No,No,17721.64,3 stars,2,6,1 borrower,$0,"$4,860",No,Real-estate
River Branch,Broker,Card,2023 VY,"$45,800",Purchase,"$13,380","$10,000",Employed,24-month,12.00%,Simple,On time,No,Yes,8449.01,4 stars,6,10,1 borrower,$0,"$11,160",Yes,Auto
Central Branch,Broker,Auto,2023 VY,"$47,400",Purchase,"$10,160","$8,900",Contract,60-month,3.90%,Simple,On time,Yes,No,10304.03,4 stars,4,6,1 borrower,"$1,380","$8,510",No,Real-estate
Delta Branch,Online,Student,2023 VY,"$38,200",Purchase,"$11,760","$9,600",Employed,120-month,5.67%,Simple,On time,Yes,No,9758.13,3 stars,6,6,2 borrowers,$0,"$4,930",Yes,Auto
Central Branch,Online,Personal,2023 VY,"$46,900",Purchase,"$19,240","$14,800",Contract,36-month,9.98%,Simple,2-year prior,No,No,10643.62,2 stars,3,7,2 borrowers,$0,"$4,250",Yes,Auto
Harbor Branch,Branch,Personal,2023 VY,"$76,700",Refinance,"$13,860","$13,800",Public,18-month,11.67%,Simple,On time,Yes,No,10696.84,2 stars,4,10,1 borrower,$0,"$7,990",Yes,Unsecured
North Branch,Broker,SME,2020 VY,"$190,300",Purchase,"$13,340","$70,200",Employed,60-month,12.01%,Schedule-heavy,Late docs,No,No,30140.42,1 star,2,25,2 borrowers,$0,"$30,560",Yes,Unsecured
Highland Branch,Branch,Auto,2019 VY,"$43,200",Purchase,"$13,470","$36,700",Employed,60-month,5.58%,Simple,On time,No,Yes,33453.02,3 stars,0,10,1 borrower,"$5,750","$3,390",Yes,Real-estate
Harbor Branch,Broker,SME,2022 VY,"$14,000",Refinance,"$1,140","$88,100",Self-employed,60-month,10.81%,Schedule-heavy,On time,Yes,Yes,18538.87,2 stars,5,6,1 borrower,$0,$770,Yes,Unsecured
Highland Branch,Online,Personal,2021 VY,"$70,800",Refinance,"$10,500","$16,700",Employed,36-month,9.29%,Simple,On time,No,No,13720.73,2 stars,1,9,1 borrower,$0,"$12,750",No,Auto
Delta Branch,Branch,Card,2020 VY,"$47,500",Purchase,"$1,930","$10,800",Employed,24-month,17.86%,Simple,3-year prior,No,Yes,9290.72,3 stars,4,10,1 borrower,$0,"$10,450",Yes,Unsecured
Harbor Branch,Branch,Student,2020 VY,"$20,200",Purchase,"$7,810","$18,300",Employed,120-month,11.19%,Simple,On time,Yes,Yes,9469.8,1 star,2,8,2 borrowers,$0,"$4,590",Yes,Unsecured
Prairie Branch,Online,HELOC,2021 VY,"$71,500",Purchase,"$4,150","$104,900",Employed,180-month,7.76%,Schedule-heavy,On time,No,No,75469.6,2 stars,5,9,1 borrower,"$6,930","$15,270",Yes,Auto
North Branch,Online,Personal,2019 VY,"$44,500",Purchase,"$9,180","$9,400",Self-employed,54-month,10.43%,Simple,On time,Yes,No,6475.66,2 stars,7,6,1 borrower,$0,"$6,320",Yes,Real-estate
Capitol Branch,Branch,Auto,2019 VY,"$83,900",Purchase,"$16,860","$17,300",Self-employed,60-month,5.16%,Simple,On time,Yes,No,15084.22,3 stars,6,11,1 borrower,"$2,160","$16,900",Yes,Real-estate
Prairie Branch,Online,Auto,2023 VY,"$61,200",Purchase,"$17,580","$14,700",Employed,60-month,7.28%,Simple,3-year prior,Yes,No,12018.7,2 stars,7,9,2 borrowers,"$1,760","$14,260",Yes,Real-estate
Prairie Branch,Broker,Mortgage,2021 VY,"$133,100",Purchase,"$18,410","$371,300",Employed,360-month,10.10%,Full-doc,2-year prior,Yes,No,211421.79,2 stars,8,20,4 borrowers,"$69,220","$3,380",Yes,Unsecured
River Branch,Online,Auto,Not Available,"$67,900",Purchase,"$25,460","$28,200",Employed,30-month,7.03%,Simple,Late docs,Yes,Yes,18673.09,2 stars,6,14,2 borrowers,"$6,280","$7,790",Yes,Auto
Central Branch,Branch,Personal,Not Available,"$46,400",Purchase,"$14,840","$11,300",Employed,54-month,14.61%,Simple,3-year prior,No,No,5921.93,1 star,1,7,2 borrowers,$0,"$3,110",Yes,Unsecured
North Branch,Branch,Auto,2020 VY,"$50,200",Refinance,"$10,920","$15,300",Contract,60-month,7.97%,Simple,Late docs,Yes,No,10284.63,2 stars,3,9,3 borrowers,"$1,100","$12,510",Yes,Real-estate
Harbor Branch,Online,Auto,2023 VY,"$69,200",Purchase,"$10,760","$32,700",Employed,60-month,10.20%,Simple,On time,Yes,No,22365.66,3 stars,7,9,1 borrower,"$2,770","$16,180",Yes,Unsecured
Central Branch,Branch,Auto,2022 VY,"$74,400",Purchase,"$26,050","$24,800",Self-employed,60-month,5.19%,Simple,On time,No,Yes,23210.41,3 stars,6,14,1 borrower,"$4,600","$15,220",Yes,Auto
North Branch,Broker,Personal,2023 VY,"$69,900",Purchase,"$24,560","$20,900",Retired,36-month,11.29%,Simple,On time,Yes,Yes,14922.95,3 stars,2,14,2 borrowers,$0,"$6,150",No,Unsecured
Capitol Branch,Branch,Auto,2020 VY,"$52,800",Refinance,"$12,610","$21,500",Self-employed,60-month,5.67%,Simple,On time,No,No,20245.46,3 stars,2,7,1 borrower,"$2,910","$12,620",Yes,Real-estate
North Branch,Online,SME,2020 VY,"$117,900",Purchase,"$21,550","$100,200",Self-employed,60-month,5.06%,Schedule-heavy,On time,Yes,Yes,99546.23,3 stars,7,19,1 borrower,$0,"$3,150",Yes,Real-estate
Harbor Branch,Branch,Auto,2019 VY,"$69,700",Refinance,"$2,410","$24,300",Employed,60-month,7.88%,Simple,On time,No,Yes,20800.47,2 stars,0,13,1 borrower,"$5,580","$4,410",No,Real-estate
Central Branch,Branch,Auto,2022 VY,"$50,300",Purchase,"$4,120","$17,200",Employed,60-month,12.96%,Simple,3-year prior,No,No,4795.73,1 star,10,7,1 borrower,"$1,720","$8,140",Yes,Unsecured
Delta Branch,Online,Mortgage,Not Available,"$55,700",Purchase,"$2,790","$227,900",Employed,360-month,4.52%,Full-doc,3-year prior,Yes,No,195843.86,3 stars,8,8,2 borrowers,"$46,410","$11,270",No,Real-estate
Highland Branch,Online,Student,2023 VY,"$20,700",Purchase,"$1,360","$10,500",Contract,120-month,8.46%,Simple,On time,Yes,Yes,10046.16,3 stars,6,7,1 borrower,$0,"$4,620",Yes,Unsecured
Harbor Branch,Online,Auto,2023 VY,"$53,200",Purchase,"$4,290","$25,800",Public,60-month,10.72%,Simple,Late docs,Yes,Yes,14891.74,2 stars,2,11,1 borrower,"$6,390","$4,740",Yes,Unsecured
Central Branch,Broker,SME,Not Available,"$139,800",Refinance,"$49,070","$107,600",Employed,60-month,8.36%,Schedule-heavy,On time,No,Yes,90532.66,3 stars,5,24,3 borrowers,$0,"$15,360",Yes,Unsecured
Harbor Branch,Broker,Ag,2023 VY,"$109,800",Purchase,"$37,280","$87,500",Employed,84-month,8.56%,Schedule-heavy,On time,No,No,74748.94,4 stars,2,15,2 borrowers,$0,"$13,680",Yes,Unsecured
Capitol Branch,Broker,Mortgage,2019 VY,"$48,600",Purchase,"$18,430","$296,000",Employed,360-month,3.90%,Full-doc,On time,Yes,No,301198.98,4 stars,0,7,1 borrower,"$66,000","$1,270",Yes,Auto
Harbor Branch,Branch,Card,2023 VY,"$42,700",Purchase,"$12,180","$7,600",Self-employed,24-month,17.04%,Simple,On time,Yes,Yes,6556.37,3 stars,3,10,1 borrower,$0,"$9,340",Yes,Unsecured
North Branch,Online,Student,2021 VY,"$24,800",Purchase,"$7,360","$27,800",Self-employed,120-month,7.31%,Simple,On time,No,Yes,24207.13,4 stars,7,8,1 borrower,$0,"$2,420",Yes,Unsecured
Capitol Branch,Broker,Personal,2019 VY,"$66,300",Purchase,"$6,030","$18,400",Contract,36-month,9.65%,Simple,On time,Yes,Yes,14743.66,2 stars,1,13,1 borrower,$0,"$4,360",Yes,Auto
Central Branch,Branch,Mortgage,2022 VY,"$75,100",Purchase,"$23,440","$356,600",Public,360-month,6.10%,Full-doc,On time,No,Yes,338984.17,3 stars,1,14,1 borrower,"$40,340","$8,570",Yes,Real-estate
Highland Branch,Branch,SME,Not Available,"$90,700",Refinance,"$13,910","$128,200",Employed,60-month,5.25%,Schedule-heavy,On time,No,Yes,113476.55,3 stars,7,16,1 borrower,$0,"$16,640",Yes,Auto
Harbor Branch,Online,Ag,2021 VY,"$29,600",Refinance,"$6,690","$62,100",Self-employed,126-month,6.57%,Schedule-heavy,2-year prior,Yes,No,47255.19,3 stars,7,6,3 borrowers,$0,"$6,520",Yes,Auto
Harbor Branch,Online,Mortgage,2022 VY,"$107,500",Refinance,"$43,400","$272,600",Self-employed,360-month,7.31%,Full-doc,On time,Yes,Yes,266523.71,4 stars,6,19,2 borrowers,"$62,130","$7,480",No,Unsecured
Harbor Branch,Online,Personal,2020 VY,"$49,100",Purchase,"$20,300","$17,800",Employed,36-month,7.81%,Simple,On time,Yes,Yes,15908.72,3 stars,7,12,2 borrowers,$0,"$2,930",Yes,Real-estate
Highland Branch,Broker,Mortgage,2019 VY,"$71,100",Purchase,"$9,310","$143,500",Public,360-month,9.70%,Full-doc,On time,Yes,No,95390.39,2 stars,7,10,2 borrowers,"$23,710","$16,860",Yes,Unsecured
North Branch,Online,Personal,2020 VY,"$47,300",Purchase,"$15,180","$8,500",Employed,36-month,14.10%,Simple,On time,No,Yes,4409.16,2 stars,7,11,2 borrowers,$0,"$6,940",Yes,Unsecured
Capitol Branch,Branch,Student,2023 VY,"$38,100",Purchase,"$3,150","$9,800",Contract,180-month,6.66%,Simple,On time,No,Yes,8996.88,4 stars,7,10,2 borrowers,$0,"$3,970",Yes,Unsecured
North Branch,Branch,Mortgage,2023 VY,"$59,800",Purchase,"$2,740","$230,900",Contract,360-month,4.53%,Full-doc,On time,No,Yes,226847.33,3 stars,5,14,3 borrowers,"$47,680","$3,940",Yes,Auto
Harbor Branch,Branch,Student,2020 VY,"$20,400",Purchase,$510,"$15,900",Public,120-month,7.87%,Simple,On time,Yes,Yes,13636.86,3 stars,2,8,2 borrowers,$0,"$5,080",No,Unsecured
North Branch,Branch,HELOC,2021 VY,"$123,100",Purchase,"$13,140","$27,400",Employed,180-month,5.79%,Schedule-heavy,On time,Yes,Yes,22481.74,3 stars,3,21,2 borrowers,"$4,790","$22,820",Yes,Auto
Central Branch,Online,SME,2020 VY,"$113,400",Purchase,"$33,880","$89,400",Employed,90-month,8.67%,Schedule-heavy,On time,No,No,68271.81,3 stars,3,16,2 borrowers,$0,"$7,950",Yes,Unsecured
North Branch,Broker,SME,2019 VY,"$140,100",Refinance,"$24,770","$82,200",Public,90-month,6.63%,Schedule-heavy,On time,Yes,Yes,68637.62,2 stars,4,23,2 borrowers,$0,"$5,740",No,Auto
Delta Branch,Branch,Student,2022 VY,"$31,600",Purchase,$510,"$25,400",Contract,120-month,5.36%,Simple,On time,Yes,No,21521.96,3 stars,5,4,1 borrower,$0,"$2,080",Yes,Auto
North Branch,Branch,HELOC,2023 VY,"$87,000",Purchase,"$36,270","$93,700",Employed,180-month,11.77%,Schedule-heavy,On time,Yes,No,53543.88,2 stars,1,11,1 borrower,"$7,520","$6,700",Yes,Unsecured
Harbor Branch,Broker,HELOC,2023 VY,"$78,200",Purchase,"$19,680","$63,800",Contract,180-month,6.35%,Schedule-heavy,On time,No,Yes,56737.65,3 stars,0,14,1 borrower,"$14,510","$3,560",Yes,Auto
Capitol Branch,Branch,Personal,2022 VY,"$67,000",Purchase,"$12,450","$10,600",Employed,36-month,9.91%,Simple,On time,No,Yes,8412.54,2 stars,4,13,1 borrower,$0,"$4,880",Yes,Auto
Harbor Branch,Online,Mortgage,2022 VY,"$129,200",Refinance,"$28,230","$294,300",Self-employed,360-month,9.90%,Full-doc,On time,Yes,Yes,164857.84,1 star,7,21,1 borrower,"$74,580","$6,050",Yes,Auto
Prairie Branch,Branch,Personal,2020 VY,"$71,500",Purchase,"$17,700","$14,000",Public,54-month,11.17%,Simple,On time,No,Yes,12793.28,3 stars,6,13,1 borrower,$0,"$7,640",Yes,Unsecured
Delta Branch,Online,HELOC,2020 VY,"$54,800",Refinance,"$12,130","$50,400",Employed,90-month,6.60%,Schedule-heavy,On time,Yes,No,38694.74,2 stars,0,7,1 borrower,"$8,390","$7,220",Yes,Auto
Highland Branch,Branch,SME,Not Available,"$168,700",Refinance,"$44,850","$59,400",Employed,30-month,10.66%,Schedule-heavy,On time,Yes,Yes,46170.37,3 stars,4,28,4 borrowers,$0,"$21,040",Yes,Unsecured
North Branch,Online,Mortgage,2023 VY,"$80,500",Purchase,"$31,240","$201,000",Retired,360-month,10.39%,Full-doc,On time,Yes,No,143078.32,3 stars,4,11,1 borrower,"$52,240","$16,960",Yes,Unsecured
Harbor Branch,Branch,Personal,Not Available,"$38,400",Purchase,"$4,260","$13,100",Contract,36-month,9.40%,Simple,On time,No,No,13454.86,4 stars,3,5,1 borrower,$0,"$3,010",Yes,Unsecured
Delta Branch,Online,Auto,2023 VY,"$54,600",Purchase,"$13,540","$28,200",Public,60-month,6.47%,Simple,On time,Yes,No,27086.05,3 stars,5,7,1 borrower,"$5,450","$12,230",No,Auto
Capitol Branch,Branch,Student,2023 VY,"$35,500",Purchase,"$1,400","$21,200",Employed,120-month,10.73%,Simple,Late docs,Yes,No,14712.79,3 stars,5,5,1 borrower,$0,"$8,120",Yes,Unsecured
Capitol Branch,Branch,Personal,Not Available,"$61,700",Purchase,"$19,900","$22,900",Retired,54-month,8.13%,Simple,2-year prior,Yes,No,17702.85,3 stars,7,9,2 borrowers,$0,"$14,850",No,Auto
Delta Branch,Online,Personal,2022 VY,"$47,400",Refinance,"$7,620","$17,300",Employed,36-month,11.22%,Simple,3-year prior,No,No,11752.55,3 stars,7,7,2 borrowers,$0,"$2,920",Yes,Unsecured
Central Branch,Branch,Card,2019 VY,"$69,900",Purchase,"$9,510","$9,200",Employed,24-month,13.55%,Simple,On time,No,No,7835.01,3 stars,5,9,1 borrower,$0,"$5,350",Yes,Real-estate
Highland Branch,Branch,Student,2019 VY,"$29,300",Refinance,"$11,610","$16,100",Employed,120-month,8.02%,Simple,On time,Yes,Yes,14335.83,3 stars,3,9,2 borrowers,$0,"$4,790",Yes,Unsecured
Harbor Branch,Branch,Personal,2020 VY,"$41,700",Purchase,"$10,040","$8,900",Contract,36-month,7.01%,Simple,On time,No,Yes,7283.02,3 stars,4,10,1 borrower,$0,"$2,190",Yes,Auto
Highland Branch,Branch,Auto,2020 VY,"$43,800",Refinance,"$3,650","$17,600",Public,60-month,8.94%,Simple,On time,Yes,Yes,11895.85,1 star,7,11,2 borrowers,"$4,490","$1,740",Yes,Real-estate
Harbor Branch,Branch,Ag,2021 VY,"$84,300",Purchase,"$11,300","$49,100",Contract,84-month,5.35%,Schedule-heavy,On time,Yes,Yes,48291.89,5 stars,2,17,3 borrowers,$0,"$3,110",No,Unsecured
Central Branch,Broker,Student,2023 VY,"$27,300",Purchase,"$2,530","$2,000",Self-employed,120-month,7.74%,Simple,On time,Yes,No,1626.99,4 stars,6,6,3 borrowers,$0,"$4,350",Yes,Unsecured
Delta Branch,Branch,SME,2023 VY,"$48,100",Purchase,"$21,470","$55,000",Employed,60-month,5.95%,Schedule-heavy,On time,No,Yes,52321.26,3 stars,4,11,1 borrower,$0,"$9,860",Yes,Auto
Capitol Branch,Online,Auto,2022 VY,"$74,900",Purchase,"$14,960","$34,300",Employed,60-month,8.43%,Simple,On time,Yes,No,23377.97,2 stars,0,11,2 borrowers,"$6,300","$5,960",Yes,Real-estate
Harbor Branch,Broker,Auto,2020 VY,"$48,400",Refinance,"$5,290","$24,800",Employed,60-month,4.54%,Simple,On time,Yes,No,24615.15,4 stars,5,8,2 borrowers,"$1,930","$11,360",No,Real-estate
Capitol Branch,Branch,Personal,2023 VY,"$80,700",Purchase,"$19,350","$12,200",Employed,36-month,12.10%,Simple,On time,Yes,Yes,8079.16,2 stars,1,17,3 borrowers,$0,"$16,310",Yes,Unsecured
Central Branch,Online,Student,2021 VY,"$15,400",Purchase,"$3,910","$20,500",Employed,120-month,6.64%,Simple,2-year prior,Yes,No,14948.54,3 stars,7,2,1 borrower,$0,$580,Yes,Real-estate
Prairie Branch,Broker,Personal,2019 VY,"$48,700",Purchase,"$1,410","$4,400",Public,36-month,12.23%,Simple,On time,No,Yes,4826.99,2 stars,7,11,1 borrower,$0,"$5,540",Yes,Unsecured
North Branch,Online,Personal,2021 VY,"$39,400",Purchase,"$14,630","$15,400",Contract,36-month,9.33%,Simple,On time,No,No,15358.32,4 stars,6,5,1 borrower,$0,"$1,400",No,Unsecured
Highland Branch,Branch,Student,2021 VY,"$19,200",Purchase,$180,"$26,000",Contract,120-month,8.87%,Simple,2-year prior,Yes,No,14374.96,1 star,8,3,1 borrower,$0,"$4,430",Yes,Auto
Highland Branch,Branch,Card,2021 VY,"$44,800",Purchase,"$16,460","$7,700",Employed,24-month,14.13%,Simple,On time,No,Yes,7877.92,3 stars,0,11,2 borrowers,$0,"$8,550",Yes,Auto
Harbor Branch,Branch,Student,2023 VY,"$43,900",Purchase,"$13,640","$6,800",Self-employed,120-month,8.82%,Simple,On time,Yes,No,2986.54,1 star,6,6,1 borrower,$0,"$7,810",Yes,Auto
Central Branch,Online,Mortgage,2023 VY,"$96,600",Purchase,"$5,900","$205,200",Employed,360-month,5.31%,Full-doc,On time,Yes,Yes,188102.3,3 stars,2,17,1 borrower,"$19,050","$17,100",Yes,Real-estate
River Branch,Broker,Mortgage,2023 VY,"$66,700",Purchase,"$21,020","$347,500",Employed,360-month,9.59%,Full-doc,On time,Yes,No,237233.8,2 stars,0,11,3 borrowers,"$33,170","$5,710",No,Unsecured
Highland Branch,Broker,Mortgage,2020 VY,"$33,500",Refinance,"$11,440","$261,700",Employed,360-month,4.95%,Full-doc,On time,No,No,256181.28,4 stars,7,6,2 borrowers,"$23,300","$7,860",Yes,Auto
Delta Branch,Branch,Auto,2023 VY,"$23,600",Purchase,"$5,400","$11,100",Employed,60-month,10.01%,Simple,Late docs,Yes,Yes,7360.66,2 stars,4,10,4 borrowers,"$1,340","$5,480",Yes,Unsecured
Highland Branch,Online,Mortgage,2023 VY,"$74,800",Purchase,"$19,300","$438,900",Employed,360-month,8.29%,Full-doc,Late docs,No,No,319053.31,3 stars,3,11,2 borrowers,"$116,960","$14,220",No,Unsecured
Central Branch,Branch,Mortgage,2020 VY,"$71,700",Purchase,"$5,290","$134,700",Contract,360-month,11.32%,Full-doc,Late docs,Yes,No,64280.53,2 stars,3,11,3 borrowers,"$21,810","$9,170",No,Unsecured
Harbor Branch,Broker,SME,2023 VY,"$99,900",Purchase,"$4,260","$77,800",Employed,60-month,7.58%,Schedule-heavy,3-year prior,No,No,53447.29,2 stars,6,14,2 borrowers,$0,"$3,080",No,Real-estate
Prairie Branch,Branch,Card,2022 VY,"$14,000",Purchase,"$4,420","$5,100",Employed,24-month,13.95%,Simple,On time,Yes,No,5759.87,3 stars,6,2,1 borrower,$0,$370,No,Auto
River Branch,Broker,Ag,2022 VY,"$69,200",Purchase,"$4,400","$41,400",Employed,84-month,9.09%,Schedule-heavy,Late docs,No,No,27402.83,3 stars,4,9,1 borrower,$0,"$3,580",Yes,Unsecured
Prairie Branch,Broker,Personal,2020 VY,"$70,500",Purchase,"$8,040","$11,800",Self-employed,36-month,8.08%,Simple,On time,No,Yes,11809.62,3 stars,6,15,3 borrowers,$0,"$11,070",No,Auto
Harbor Branch,Branch,Auto,2022 VY,"$90,500",Purchase,"$21,090","$26,900",Employed,60-month,5.16%,Simple,On time,Yes,No,25320.96,3 stars,7,12,1 borrower,"$2,030","$18,420",No,Real-estate
Harbor Branch,Branch,Personal,2020 VY,"$17,900",Purchase,"$1,180","$20,300",Employed,36-month,9.58%,Simple,Late docs,No,No,13521.19,3 stars,6,3,1 borrower,$0,"$4,260",Yes,Real-estate
Capitol Branch,Broker,Auto,2020 VY,"$42,000",Refinance,"$12,830","$19,000",Self-employed,60-month,5.05%,Simple,Late docs,Yes,Yes,16222.1,3 stars,4,11,2 borrowers,"$1,400","$2,530",Yes,Auto
River Branch,Branch,Auto,2020 VY,"$40,900",Purchase,"$15,770","$14,200",Employed,60-month,10.91%,Simple,2-year prior,Yes,Yes,7606.25,2 stars,1,10,1 borrower,"$1,750","$3,410",Yes,Unsecured
River Branch,Online,Personal,Not Available,"$54,600",Purchase,"$20,760","$16,300",Public,36-month,7.23%,Simple,On time,Yes,Yes,14797.02,3 stars,2,11,1 borrower,$0,"$1,770",Yes,Auto
Highland Branch,Broker,Student,2021 VY,"$17,000",Purchase,$0,"$21,200",Employed,180-month,4.17%,Simple,On time,No,Yes,21858.21,4 stars,5,7,1 borrower,$0,"$4,210",Yes,Real-estate
Highland Branch,Online,Mortgage,2021 VY,"$145,800",Purchase,"$27,770","$260,200",Employed,360-month,8.64%,Full-doc,On time,No,Yes,193035.23,2 stars,6,23,1 borrower,"$53,630","$29,100",Yes,Real-estate
River Branch,Branch,Card,2021 VY,"$54,800",Refinance,"$20,540","$8,800",Employed,24-month,13.57%,Simple,On time,Yes,Yes,6647.24,3 stars,2,12,2 borrowers,$0,"$7,150",Yes,Real-estate
River Branch,Branch,Personal,2023 VY,"$49,800",Purchase,"$8,520","$13,400",Self-employed,36-month,8.07%,Simple,Late docs,No,No,9976.23,3 stars,7,7,1 borrower,$0,"$7,590",Yes,Auto
Capitol Branch,Branch,Personal,2022 VY,"$80,700",Purchase,"$26,370","$14,500",Employed,36-month,9.57%,Simple,Late docs,Yes,Yes,10671.71,4 stars,3,16,2 borrowers,$0,"$12,050",Yes,Unsecured
Highland Branch,Broker,Auto,2023 VY,"$57,700",Purchase,"$15,970","$20,600",Public,60-month,4.63%,Simple,On time,Yes,Yes,23345.24,4 stars,4,12,1 borrower,"$4,790","$4,530",No,Auto
River Branch,Branch,Personal,2021 VY,"$59,200",Purchase,"$10,540","$19,200",Employed,36-month,12.94%,Simple,On time,Yes,No,14104.99,3 stars,6,9,2 borrowers,$0,"$3,710",Yes,Unsecured
Harbor Branch,Branch,Auto,2020 VY,"$43,000",Refinance,"$5,010","$39,200",Self-employed,60-month,9.16%,Simple,On time,Yes,Yes,32979.39,3 stars,3,10,1 borrower,"$10,760","$3,800",Yes,Unsecured
River Branch,Branch,Ag,2022 VY,"$30,900",Purchase,"$9,490","$69,100",Employed,84-month,6.57%,Schedule-heavy,On time,Yes,Yes,56203.34,2 stars,1,8,1 borrower,$0,"$2,370",Yes,Auto
Prairie Branch,Broker,Personal,2021 VY,"$41,000",Refinance,"$2,190","$14,000",Employed,36-month,9.72%,Simple,On time,Yes,No,12922.44,2 stars,3,7,2 borrowers,$0,"$6,080",No,Auto
Capitol Branch,Branch,Personal,2023 VY,"$91,400",Purchase,"$35,100","$15,300",Employed,36-month,11.66%,Simple,2-year prior,Yes,No,9790.04,1 star,7,12,1 borrower,$0,"$8,310",No,Real-estate
Highland Branch,Broker,Mortgage,2023 VY,"$112,300",Refinance,"$29,600","$184,700",Self-employed,360-month,4.29%,Full-doc,On time,Yes,No,186295.63,4 stars,7,16,2 borrowers,"$43,860","$21,070",Yes,Real-estate
Highland Branch,Online,Mortgage,2022 VY,"$100,800",Purchase,"$7,310","$304,300",Employed,360-month,5.67%,Full-doc,3-year prior,No,Yes,258357.33,3 stars,5,17,1 borrower,"$30,080","$15,180",Yes,Real-estate
Delta Branch,Broker,SME,Not Available,"$66,100",Purchase,"$21,280","$98,100",Retired,60-month,7.12%,Schedule-heavy,On time,Yes,Yes,80030.72,2 stars,5,13,1 borrower,$0,"$9,410",Yes,Real-estate
Highland Branch,Broker,Auto,2022 VY,"$76,200",Refinance,"$18,220","$18,800",Contract,60-month,6.03%,Simple,Late docs,No,No,14533.31,3 stars,3,10,1 borrower,"$4,990","$18,200",Yes,Auto
Highland Branch,Broker,HELOC,2021 VY,"$50,000",Purchase,"$5,620","$72,400",Retired,180-month,7.99%,Schedule-heavy,On time,Yes,No,61026.04,3 stars,7,9,3 borrowers,"$6,210","$4,710",Yes,Unsecured
River Branch,Broker,Personal,2022 VY,"$23,800",Purchase,"$10,300","$14,100",Employed,36-month,6.96%,Simple,On time,Yes,No,10418.21,3 stars,6,3,1 borrower,$0,"$3,950",Yes,Auto
North Branch,Branch,Mortgage,2019 VY,"$74,100",Refinance,"$22,710","$158,500",Contract,360-month,10.07%,Full-doc,On time,Yes,No,97920.88,2 stars,7,10,1 borrower,"$22,700","$1,480",Yes,Unsecured
Prairie Branch,Online,SME,2023 VY,"$198,000",Purchase,"$52,640","$95,500",Self-employed,60-month,14.07%,Schedule-heavy,Late docs,No,Yes,34967.81,1 star,8,28,2 borrowers,$0,"$37,520",Yes,Unsecured
Prairie Branch,Online,HELOC,2020 VY,"$141,100",Refinance,"$49,350","$59,600",Self-employed,90-month,9.81%,Schedule-heavy,2-year prior,Yes,No,40508.55,3 stars,5,18,1 borrower,"$4,240","$19,130",Yes,Unsecured
Highland Branch,Online,Auto,2021 VY,"$49,000",Purchase,"$12,090","$29,400",Retired,60-month,8.18%,Simple,On time,Yes,No,22685.67,2 stars,7,8,2 borrowers,"$6,370","$3,330",Yes,Real-estate
River Branch,Broker,Mortgage,2022 VY,"$70,400",Refinance,"$14,680","$309,800",Self-employed,180-month,6.15%,Full-doc,On time,No,No,284155.41,3 stars,4,12,4 borrowers,"$51,970","$1,430",Yes,Real-estate
Prairie Branch,Broker,Personal,2019 VY,"$22,500",Refinance,"$4,680","$13,500",Public,36-month,7.16%,Simple,On time,No,Yes,16579.13,4 stars,4,8,2 borrowers,$0,"$4,110",Yes,Real-estate
